,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,exp11,,,,exp12,,,,exp13,,,,exp14,,,,exp15,,,,exp16,,,,exp17,,,,exp18,,,,exp19,,,,exp20,,,,exp21,,,,exp22,,,,exp23,,,,exp24,,,,exp25,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
adap_vehn_,63.15702479338843,31.66079490453393,7,118,61.01789264413519,32.356173908120155,7,118,60.455621301775146,33.497323103457255,7,118,61.51204819277108,33.094658085322365,7,118,61.536144578313255,33.522143478836114,7,118,61.37951807228916,33.38734537449194,7,118,62.628571428571426,32.557716565746134,7,118,62.29795918367347,33.31231948954293,7,118,62.472505091649694,33.52478153815617,7,118,60.21301775147929,33.050655638101645,7,118,60.43452380952381,33.17199707931448,7,118,61.41566265060241,32.32596049608764,7,118,62.73100616016427,32.97891088845796,7,118,61.20440881763527,33.463255347245315,7,118,61.538306451612904,33.0242418513033,7,118,61.355421686746986,31.88106956017467,7,118,61.8969696969697,33.542037961887935,7,118,64.02505219206681,32.99428438437511,7,118,61.603621730382294,30.974264599854262,7,118,61.61693548387097,32.32365421329834,7,118,63.30434782608695,33.167069257501154,7,118,60.45346534653466,31.806681576798674,7,118,61.67741935483871,32.866315908656766,7,118,62.858024691358025,33.05382064425978,7,118,63.29338842975206,33.30020109623421,7,118,62.01655693261038,31.416358177350546,7.0,118.0
veh_n_,63.45850622406639,32.4610007532942,7,118,68.18805309734513,33.77554106196104,7,118,62.289205702647656,32.51056132291581,7,118,61.324649298597194,32.86559604267379,7,118,61.22845691382766,32.88564694396844,7,118,61.5,32.49462113049615,7,118,58.7514450867052,32.54871420148945,7,118,62.92813141683778,32.78996900085976,7,118,61.99393939393939,33.484390641551116,7,118,62.93032786885246,33.31572663112788,7,118,61.965587044534416,34.73534874291025,7,118,62.77663934426229,33.49825009032582,7,118,61.97971602434077,33.36341520142885,7,118,62.28048780487805,33.6537809293546,7,118,61.98588709677419,31.989041722480227,7,118,62.40816326530612,32.40144305361923,7,118,60.601190476190474,33.06204899982798,7,118,62.6844262295082,32.82400964409584,7,118,64.0062630480167,33.544106392373585,7,118,62.49693251533742,32.74817744267851,7,118,65.89914163090128,32.83809287013543,7,118,65.14406779661017,31.422137901436308,7,118,62.95061728395062,33.1278315985562,7,118,64.53684210526316,33.012595258520115,7,118,60.97,33.86903191184081,7,118,62.74135108958837,31.62677723580996,7.0,118.0
thp_,62.12576064908722,33.69598064254726,7,118,64.6757894736842,32.70956683945514,7,118,60.76190476190476,32.94786014620033,7,118,60.15976331360947,31.998519579503007,7,118,63.38509316770186,33.81344881690999,7,118,63.906444906444904,33.67339423357822,7,118,61.33132530120482,32.44547605056038,7,118,62.60122699386503,32.799791309805784,7,118,62.861224489795916,32.41545754833812,7,118,60.940357852882705,33.34798448473904,7,118,61.671370967741936,32.231029451923995,7,118,62.15243902439025,33.38693620735501,7,118,63.484472049689444,32.853334128544226,7,118,63.31055900621118,33.389671426739426,7,118,62.86652977412731,32.95408716651125,7,118,63.78215767634855,32.50050780207851,7,118,59.85294117647059,32.88122252698083,7,118,59.62573099415204,33.58431961679151,7,118,58.84393063583815,33.03760459444372,7,118,61.607214428857716,33.054871443718476,7,118,64.00625,32.74794552034918,7,118,61.99595141700405,32.72238602960138,7,118,62.39676113360324,33.103814663410006,7,118,61.390781563126254,32.81617284191351,7,118,61.02376237623762,33.370744329221665,7,118,62.090538968592476,31.409802750608314,7.0,118.0
