,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,exp11,,,,exp12,,,,exp13,,,,exp14,,,,exp15,,,,exp16,,,,exp17,,,,exp18,,,,exp19,,,,exp20,,,,exp21,,,,exp22,,,,exp23,,,,exp24,,,,exp25,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
adap_vehn_,184.8358845287874,156.11949248020437,4.45,1060.87,183.6468167685215,166.24804744865423,4.59,1312.37,185.33682588184843,158.1272751369533,4.34,1059.56,191.15960812694325,162.29586153302415,4.41,1233.94,189.13197223115682,165.92888869540062,4.31,1179.82,206.14598691969553,175.01353341587662,4.33,1219.84,189.03250991744397,161.24847954981396,4.38,1487.46,191.15959043636752,159.23113680427966,4.39,1014.48,198.40865766055538,177.06536093268812,4.41,1250.31,190.21484936206713,161.48487895511838,4.29,1198.4,189.48915835745686,170.64889790807143,4.25,1164.18,189.30498927843894,158.88231345388672,4.26,1128.17,195.21929344912618,165.95704628282536,4.45,1343.67,201.22625871126834,171.38678091665827,4.18,1131.41,192.87763696794252,167.76812562200013,4.27,1181.26,183.677368392838,154.57547818740727,4.22,1105.54,202.52656427575855,176.66023639627832,4.38,1404.11,187.49914870805188,163.6950606623017,4.47,1158.31,182.99606143454488,152.4352905533578,4.29,1080.45,191.34305189235553,157.2935772563951,4.32,988.14,182.09370805189238,148.81303572710536,4.41,1173.36,189.2902358743433,159.38569346613014,4.25,1164.51,188.49660072906613,155.0455083054494,4.51,1038.13,197.25707033344057,180.2975152999073,4.22,1912.3,190.02532325506596,157.88489870932767,4.2,1006.73,158.32032637759937,76.51872462923284,4.45,612.1966666666667
veh_n_,188.21260801972767,150.1035655316056,4.38,1123.02,189.85747024766806,152.74680137520227,4.53,1071.05,192.95779671920232,166.19896263764224,4.37,1374.23,200.41278063686073,162.68280500879575,4.6,1089.32,199.57619920660449,167.2909263603333,4.53,1102.47,192.32635574139593,162.45514856101948,4.01,1025.77,184.30646670955292,170.8766266502789,4.44,1648.92,187.9881489224831,153.88868574216957,4.37,1094.07,191.60052964511632,170.93990988422664,4.34,1322.95,186.45801543904793,157.78982017027081,4.29,1190.81,191.86608073335475,161.5252693131492,4.36,1362.28,189.722094993031,153.5277781633717,4.32,1068.6,199.87525463707516,173.62537995620175,4.35,1496.4,198.9608003645331,165.96962887867286,4.38,977.0,190.3800991744398,155.83104980775087,4.31,1309.49,188.6857735606304,153.7938308795161,4.31,1285.18,184.52672992387693,157.57280498386552,4.45,1037.69,185.6707874986598,154.44451035188553,4.43,902.51,184.32835799292377,167.02364875224572,4.21,1560.81,193.483927307816,154.63894602600033,4.26,1222.68,198.18961616811407,173.68218092295004,4.4,1355.63,183.2104787177013,155.33041212340035,4.54,1382.2,201.7835499088667,169.47929833732837,4.26,1381.37,191.61678889246272,159.08477947127753,4.26,1111.13,188.04413316178835,157.83663582659327,4.4,1129.39,158.06729045674243,76.09200241163258,4.746666666666666,574.6600000000001
thp_,195.441791036775,176.34297238079307,4.46,1220.58,190.54625549480005,155.62875234322127,4.41,1044.99,189.9476182052107,165.70220442131074,4.48,1163.69,188.2485756406133,156.8306324943862,4.04,968.41,190.48833654980163,172.55361461718132,4.42,1550.96,196.2297073013831,162.52507642320958,4.51,1288.7,192.20742146456524,158.60669679095147,4.5,944.68,189.4466071620028,158.7156500241508,4.41,1165.3,192.38516993674276,166.82465102778932,4.49,1112.65,184.54366409349203,158.26744447595638,4.43,1320.83,186.10022354454807,153.8538956002664,4.29,966.24,188.6460791251206,160.87765068401,4.38,1166.53,184.77008041170794,141.27380823891912,4.06,936.08,188.72515867910369,156.88432801933257,4.42,1145.84,183.45335048783102,152.20982452618523,4.21,1451.84,181.87635949394235,149.99562360567836,4.24,1235.7,195.47962903398735,167.975685986123,4.47,1158.21,192.2381231907366,157.897703254195,4.42,1269.83,191.6401935241771,171.4221342692933,4.28,1383.38,187.56320306636647,169.1348166714722,4.39,1615.19,188.82251152567815,152.81262558316473,4.46,1080.91,187.560516243165,161.642210781523,4.28,1280.81,186.19538275972982,162.55454929011756,4.41,1296.03,183.19439744826846,147.7992393043582,4.36,1003.55,197.404554519138,171.01759408244374,4.49,1319.44,156.40534330539458,76.0433615178693,4.43,536.16
