,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,exp11,,,,exp12,,,,exp13,,,,exp14,,,,exp15,,,,exp16,,,,exp17,,,,exp18,,,,exp19,,,,exp20,,,,exp21,,,,exp22,,,,exp23,,,,exp24,,,,exp25,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
adap_vehn_,217.6691862335156,156.18666990603464,32.0,1094.0,216.47839605446552,166.3299050462369,32.0,1345.0,218.16409349201243,158.1773573545254,31.0,1092.0,223.99201243701083,162.3424501822535,32.0,1270.0,221.97062292269754,166.00052349475905,32.0,1216.0,238.97646617347485,175.05623556221298,32.0,1247.0,221.86635574139595,161.27988531101062,31.0,1523.0,223.98708051892356,159.24493805710256,31.0,1043.0,231.23903720381688,177.12727417235533,31.0,1284.0,223.0454594188914,161.5599210091134,31.0,1230.0,222.32979521818376,170.77423529726886,32.0,1200.0,222.13208963225046,158.91721393260565,31.0,1159.0,228.0499624745363,165.98950641697115,31.0,1379.0,234.05853972338372,171.45762338825895,31.0,1166.0,225.71255494800042,167.78851743280714,32.0,1215.0,216.51018548300632,154.6005801602203,32.0,1134.0,235.35992280476037,176.73837681737723,31.0,1440.0,220.33027768843144,163.7546054358005,32.0,1192.0,215.83445909724455,152.48625704065887,31.0,1112.0,224.1784603838319,157.32394346350245,32.0,1020.0,214.9292376970087,148.86825406457058,32.0,1212.0,222.11890211214754,159.45562620495545,31.0,1198.0,221.32866945427253,155.15152084529063,32.0,1072.0,230.08593331189022,180.34948785994695,32.0,1944.0,222.85783210035382,157.9138860901055,32.0,1042.0,191.09368203322646,76.55752899420035,32.0,646.3333333333334
veh_n_,221.05226761016405,150.14219926439964,31.0,1157.0,222.68816339659054,152.81189730548493,31.0,1102.0,225.78948214860083,166.2533874322637,32.0,1402.0,233.24579178728422,162.75599880622187,32.0,1121.0,232.40672241878417,167.33596477063955,32.0,1133.0,225.15980486758872,162.50368694961475,32.0,1057.0,217.14152460598262,170.98439785557252,31.0,1682.0,220.81778706979736,153.9120376397377,30.0,1126.0,224.43379436045888,170.98354648850545,32.0,1355.0,219.28942854079554,157.84104859384158,31.0,1227.0,224.69909938887102,161.59465449640186,32.0,1398.0,222.55360780529645,153.59802955270743,32.0,1101.0,232.70874879382438,173.68707849109478,31.0,1529.0,231.79050069690146,166.06827389906317,31.0,1013.0,223.21555698509704,155.9097395965183,31.0,1344.0,221.51758336013722,153.87314731169573,32.0,1315.0,217.35863621743326,157.61535712001537,31.0,1069.0,218.49635466923985,154.45972428226534,31.0,933.0,217.1572853007398,167.1080171540074,32.0,1592.0,226.3140881312319,154.73055506753676,32.0,1253.0,231.01833386941138,173.6950036967574,31.0,1389.0,216.04267181301597,155.40921368343024,31.0,1415.0,234.61321968478612,169.58547232197685,32.0,1415.0,224.45051999571137,159.11067913487776,31.0,1145.0,220.87621957757048,157.90915861491646,32.0,1164.0,190.84909230984275,76.11709105619002,33.0,609.5
thp_,228.27506164897608,176.42879345005318,31.0,1253.0,223.375951538544,155.67535650221208,31.0,1075.0,222.78052964511633,165.78376444417557,31.0,1196.0,221.0860405275008,156.9005702018329,31.0,1000.0,223.3205746756728,172.59265721265444,31.0,1589.0,229.0620778385333,162.57565474735617,32.0,1320.0,225.03977699152998,158.68252825960542,32.0,977.0,222.28004717486866,158.74645873807887,32.0,1198.0,225.2162002787606,166.88936228305994,32.0,1145.0,217.37632679318108,158.3007191563191,31.0,1352.0,218.9335263214324,153.91124101435688,32.0,1000.0,221.47930738715556,160.9087058493494,31.0,1200.0,217.60056824273613,141.32535319859676,30.0,970.0,221.55301811943818,156.95967413790694,32.0,1181.0,216.28803473785783,152.2493231441894,32.0,1480.0,214.70944569529323,150.05001278423828,31.0,1272.0,228.3144097780637,168.02203078741863,32.0,1187.0,225.07044065615955,157.9682741273768,31.0,1301.0,224.47373217540473,171.507695285368,32.0,1418.0,220.39776991529968,169.17745644758952,32.0,1647.0,221.65658839927093,152.85251165157445,32.0,1112.0,220.39744826846788,161.67848801316788,32.0,1311.0,219.02353382652515,162.6186793125071,31.0,1331.0,216.02905543047066,147.87091407543605,32.0,1035.0,230.23737536185268,171.05440460193066,32.0,1359.0,189.18316695397215,76.0902383725368,34.0,569.0
