,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,exp11,,,,exp12,,,,exp13,,,,exp14,,,,exp15,,,,exp16,,,,exp17,,,,exp18,,,,exp19,,,,exp20,,,,exp21,,,,exp22,,,,exp23,,,,exp24,,,,exp25,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
adap_vehn_,1.3070119009327759,1.1000636692061005,0,13,1.353382652514206,1.2056644830945527,0,16,1.3399270933847969,1.1531872786467108,0,17,1.3777742039240914,1.12469311587048,0,12,1.3147850327007613,1.0697936187631838,0,12,1.4763053500589687,1.3029957968774175,0,13,1.3250241235123834,1.0864714630996872,0,12,1.3585826096279618,1.0983004695028442,0,10,1.3829205532325506,1.1969465272198851,0,16,1.3712876594832208,1.1352172735699126,0,12,1.3378899967835316,1.1470286202035427,0,14,1.3382116436153104,1.0806045280079921,0,12,1.3850648654444087,1.1772399535776978,0,13,1.3948750938136594,1.1363710652462706,0,12,1.356813552053179,1.199167159424228,0,19,1.3076551945963333,1.0291772715789667,0,10,1.4198563310818055,1.2080451293849686,0,13,1.3544012008148387,1.1991002019170685,0,14,1.3235767127693792,1.0657093385337955,0,11,1.3777742039240914,1.1522874298387062,0,12,1.2759729816661305,1.0484251819565658,0,12,1.321646831778707,1.0995122542280507,0,15,1.3671598584753941,1.1202871376348664,0,12,1.3827597298166614,1.2226330973898336,0,19,1.3453950895250348,1.0790256390447235,0,13,1.1675267645850358,0.46207574315028777,0.0,3.6666666666666665
veh_n_,1.381526750294843,1.1503514835880624,0,13,1.2882491690790179,1.0653116839512347,0,14,1.3603516672027447,1.179347379675887,0,16,1.4329366355741395,1.183519574459541,0,14,1.404470890961724,1.1854129384515124,0,14,1.3636217433258282,1.123255719079356,0,13,1.3617454701404526,1.2334997183264218,0,16,1.3012758657660555,1.0339445930293913,0,12,1.343518816339659,1.1405945619722169,0,15,1.29848825989064,1.039972487278019,0,13,1.3547228476466173,1.1332164093853887,0,14,1.3309745899002894,1.0771594574408072,0,13,1.3808834566312855,1.1649195838663227,0,12,1.4151388442157178,1.1912754194057589,0,12,1.353865122761874,1.1760110547948852,0,17,1.3452342661091454,1.0736231491018184,0,10,1.2852471319824166,1.0247879383004652,0,10,1.3521496729923876,1.1038337640312499,0,11,1.2943068510775169,1.100733865423877,0,13,1.417658411064651,1.1620674032641196,0,13,1.3329044708909616,1.1353164787774856,0,12,1.2806368607269218,1.0743014106072926,0,11,1.4427468639433902,1.2889584591164311,0,19,1.3275436903613167,1.0757187643695472,0,13,1.3396590543583147,1.0798277627427604,0,11,1.1602391671346362,0.46155365433403966,0.0,3.2
thp_,1.330438511847325,1.1179123551154064,0,15,1.3603516672027447,1.1707243079362875,0,14,1.3267395732818699,1.1148953310746128,0,14,1.3674815053071727,1.1440951660831402,0,11,1.2885708159107967,1.1345833750032017,0,15,1.3701082877666988,1.1628456302792176,0,11,1.3665165648118367,1.1442172722226862,0,15,1.2982738286694542,1.007834118347216,0,9,1.3606733140345235,1.1596744345018526,0,15,1.3321539616168114,1.0723561343427384,0,12,1.2832100353811515,1.0260845392802322,0,11,1.3394446231371289,1.0941973405154994,0,12,1.2966119867052643,1.0393492792245103,0,12,1.3072263321539617,1.0528898101205577,0,14,1.2572638576176691,0.9575336989971734,0,10,1.2464886887530824,0.9362527356809914,0,9,1.4178192344805403,1.224701467271116,0,14,1.3864586683821165,1.0968492586645422,0,10,1.4131017476144527,1.2583637082591046,0,14,1.316286051249062,1.0958931219396133,0,12,1.3176262463814732,1.060772362047855,0,14,1.327007612308352,1.0821917029551393,0,12,1.327329259140131,1.1139766390625598,0,12,1.3221829098316715,1.0596755023415332,0,12,1.3817411815160288,1.1622887723772746,0,14,1.1504345650931935,0.4494984798118521,0.0,3.25
