step,tl_id,reward_type,previous,current,max,reward
25,0,vehicle_cumulative_delay,0,64,176749.71428571417,0.999637906062487
25,0,reward_with_penalty,0.999637906062487,0.999637906062487,0.22270013882530884,0.7769377672371782
51,0,vehicle_cumulative_delay,64,800,176749.71428571417,0.9954738257810883
51,0,reward_with_penalty,0.9954738257810883,0.9954738257810883,0.22270013882530884,0.7727736869557795
98,0,vehicle_cumulative_delay,800,4210,176749.71428571417,0.9761810081729775
98,0,reward_with_penalty,0.9761810081729775,0.9761810081729775,0.6224593312018545,0.353721676971123
172,0,vehicle_cumulative_delay,4210,11971,176749.71428571417,0.9322714605317608
172,0,reward_with_penalty,0.9322714605317608,0.9322714605317608,0.9399133498259924,-0.007641889294231596
261,0,vehicle_cumulative_delay,11971,15786,176749.71428571417,0.9106872672253258
261,0,reward_with_penalty,0.9106872672253258,0.9106872672253258,0.9655548043337887,-0.05486753710846293
317,0,vehicle_cumulative_delay,15786,13296,176749.71428571417,0.9247749844816884
317,0,reward_with_penalty,0.9247749844816884,0.9247749844816884,0.6224593312018545,0.3023156532798339
400,0,vehicle_cumulative_delay,13296,27918,176749.71428571417,0.8420478351955306
400,0,reward_with_penalty,0.8420478351955306,0.8420478351955306,0.9595604351819967,-0.11751259998646613
477,0,vehicle_cumulative_delay,27918,20665,176749.71428571417,0.8830832622077384
477,0,reward_with_penalty,0.8830832622077384,0.8830832622077384,0.8621583430350643,0.020924919172674028
521,0,vehicle_cumulative_delay,20665,13521,176749.71428571417,0.9235019979826194
521,0,reward_with_penalty,0.9235019979826194,0.9235019979826194,0.3973146620215084,0.5261873359611111
562,0,vehicle_cumulative_delay,13521,9335,176749.71428571417,0.9471852045830746
562,0,reward_with_penalty,0.9471852045830746,0.9471852045830746,0.33924363123418283,0.6079415733488918
636,0,vehicle_cumulative_delay,9335,9800,176749.71428571417,0.9445543658183323
636,0,reward_with_penalty,0.9445543658183323,0.9445543658183323,0.9116003227929417,0.03295404302539062
668,0,vehicle_cumulative_delay,9800,5938,176749.71428571417,0.9664044718601282
668,0,reward_with_penalty,0.9664044718601282,0.9664044718601282,0.26894142136999516,0.6974630504901331
739,0,vehicle_cumulative_delay,5938,10193,176749.71428571417,0.9423308827332919
739,0,reward_with_penalty,0.9423308827332919,0.9423308827332919,0.9046505351008906,0.037680347632401356
849,0,vehicle_cumulative_delay,10193,26676,176749.71428571417,0.849074720670391
849,0,reward_with_penalty,0.849074720670391,0.849074720670391,0.9955777150473046,-0.1465029943769136
881,0,vehicle_cumulative_delay,26676,17430,176749.71428571417,0.9013859792054624
881,0,reward_with_penalty,0.9013859792054624,0.9013859792054624,0.15886910488091513,0.7425168743245473
907,0,vehicle_cumulative_delay,17430,9370,176749.71428571417,0.9469871844609973
907,0,reward_with_penalty,0.9469871844609973,0.9469871844609973,0.13784165696493575,0.8091455274960615
1014,0,vehicle_cumulative_delay,9370,8918,176749.71428571417,0.9495444728946824
1014,0,reward_with_penalty,0.9495444728946824,0.9495444728946824,0.9921029164925812,-0.04255844359789884
1115,0,vehicle_cumulative_delay,8918,19574,176749.71428571417,0.8892558322987791
1115,0,reward_with_penalty,0.8892558322987791,0.8892558322987791,0.9906840406549333,-0.10142820835615418
1159,0,vehicle_cumulative_delay,19574,12767,176749.71428571417,0.9277679171839437
1159,0,reward_with_penalty,0.9277679171839437,0.9277679171839437,0.3775406687981454,0.5502272483857983
1281,0,vehicle_cumulative_delay,12767,25142,176749.71428571417,0.857753659735154
1281,0,reward_with_penalty,0.857753659735154,0.857753659735154,0.9977246270339472,-0.1399709672987931
1298,0,vehicle_cumulative_delay,25142,17141,176749.71428571417,0.9030210596420443
1298,0,reward_with_penalty,0.9030210596420443,0.9030210596420443,0.07585818002124355,0.8271628796208007
1327,0,vehicle_cumulative_delay,17141,2965,176749.71428571417,0.9832248668011587
1327,0,reward_with_penalty,0.9832248668011587,0.9832248668011587,0.10278402491725172,0.880440841883907
1398,0,vehicle_cumulative_delay,2965,6992,176749.71428571417,0.9604412373267122
1398,0,reward_with_penalty,0.9604412373267122,0.9604412373267122,0.9046505351008906,0.05579070222582161
1487,0,vehicle_cumulative_delay,6992,22681,176749.71428571417,0.871677303176081
1487,0,reward_with_penalty,0.871677303176081,0.871677303176081,0.975075573352886,-0.10339827017680492
1504,0,vehicle_cumulative_delay,22681,18252,176749.71428571417,0.8967353351955306
1504,0,reward_with_penalty,0.8967353351955306,0.8967353351955306,0.07585818002124355,0.820877155174287
1566,0,vehicle_cumulative_delay,18252,11982,176749.71428571417,0.9322092256362507
1566,0,reward_with_penalty,0.9322092256362507,0.9322092256362507,0.6970592839654074,0.23514994167084335
1619,0,vehicle_cumulative_delay,11982,6531,176749.71428571417,0.96304944522036
1619,0,reward_with_penalty,0.96304944522036,0.96304944522036,0.5621765008857982,0.4008729443345618
1672,0,vehicle_cumulative_delay,6531,10103,176749.71428571417,0.9428400773329195
1672,0,reward_with_penalty,0.9428400773329195,0.9428400773329195,0.6791786991753931,0.26366137815752644
1707,0,vehicle_cumulative_delay,10103,11258,176749.71428571417,0.9363054133043658
1707,0,reward_with_penalty,0.9363054133043658,0.9363054133043658,0.26894142136999516,0.6673639919343706
1760,0,vehicle_cumulative_delay,11258,6408,176749.71428571417,0.9637453445065176
1760,0,reward_with_penalty,0.9637453445065176,0.9637453445065176,0.5415704832167999,0.4221748612897177
1804,0,vehicle_cumulative_delay,6408,4652,176749.71428571417,0.9736802969170287
1804,0,reward_with_penalty,0.9736802969170287,0.9736802969170287,0.5,0.47368029691702873
1890,0,vehicle_cumulative_delay,4652,15064,176749.71428571417,0.9147721394578936
1890,0,reward_with_penalty,0.9147721394578936,0.9147721394578936,0.9706877692486436,-0.05591562979075004
1949,0,vehicle_cumulative_delay,15064,9215,176749.71428571417,0.9478641307159114
1949,0,reward_with_penalty,0.9478641307159114,0.9478641307159114,0.5825702064623147,0.36529392425359664
2023,0,vehicle_cumulative_delay,9215,16261,176749.71428571417,0.907999851282847
2023,0,reward_with_penalty,0.907999851282847,0.907999851282847,0.9180894228446748,-0.01008957156182777
2136,0,vehicle_cumulative_delay,16261,26241,176749.71428571417,0.8515358279019242
2136,0,reward_with_penalty,0.8515358279019242,0.8515358279019242,0.995929862284104,-0.1443940343821798
2258,0,vehicle_cumulative_delay,26241,23299,176749.71428571417,0.8681808335919718
2258,0,reward_with_penalty,0.8681808335919718,0.8681808335919718,0.9977246270339472,-0.1295437934419753
2290,0,vehicle_cumulative_delay,23299,25932,176749.71428571417,0.8532840626939788
2290,0,reward_with_penalty,0.8532840626939788,0.8532840626939788,0.26894142136999516,0.5843426413239836
2331,0,vehicle_cumulative_delay,25932,8686,176749.71428571417,0.9508570634181668
2331,0,reward_with_penalty,0.9508570634181668,0.9508570634181668,0.30294071603459277,0.6479163473835741
2435,0,vehicle_cumulative_delay,8686,15875,176749.71428571417,0.9101837303434719
2435,0,reward_with_penalty,0.9101837303434719,0.9101837303434719,0.991422514586288,-0.08123878424281616
2488,0,vehicle_cumulative_delay,15875,16458,176749.71428571417,0.90688528088144
2488,0,reward_with_penalty,0.90688528088144,0.90688528088144,0.6791786991753931,0.22770658170604696
2514,0,vehicle_cumulative_delay,16458,15159,176749.71428571417,0.9142346562693978
2514,0,reward_with_penalty,0.9142346562693978,0.9142346562693978,0.1824255238063564,0.7318091324630414
2543,0,vehicle_cumulative_delay,15159,3925,176749.71428571417,0.9777934577384647
2543,0,reward_with_penalty,0.9777934577384647,0.9777934577384647,0.15886910488091513,0.8189243528575496
2563,0,vehicle_cumulative_delay,3925,2080,176749.71428571417,0.9882319470308297
2563,0,reward_with_penalty,0.9882319470308297,0.9882319470308297,0.11920292202211755,0.8690290250087122
2670,0,vehicle_cumulative_delay,2080,17636,176749.71428571417,0.9002204893440926
2670,0,reward_with_penalty,0.9002204893440926,0.9002204893440926,0.995929862284104,-0.09570937294001136
2696,0,vehicle_cumulative_delay,17636,13695,176749.71428571417,0.9225175550900062
