,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,266.64285714285717,64.30322512833055,125,365,248.2,65.17160371691403,104,419,273.1111111111111,53.53096396072186,176,353,239.0,41.081080467945256,176,311,263.85714285714283,80.52269718473644,89,407,269.32142857142856,75.27433952201899,110,392,282.2692307692308,65.86444120604544,164,413,253.48275862068965,66.77981981838053,98,380,271.77777777777777,69.6238980486383,131,377,268.44444444444446,67.4989078734061,137,398,262.6636363636364,65.56681932919713,89.0,419.0
veh_n_,249.9,58.98529916209105,137,362,260.2068965517241,48.01292929316378,167,347,261.07142857142856,70.18648628577198,128,404,263.2142857142857,61.573417269839055,92,344,241.3,56.10098653014199,137,335,266.77777777777777,71.44784721595795,86,416,246.9,63.671219070558365,107,368,275.0,87.98513860524751,83,431,259.35714285714283,61.991166805479324,134,410,275.5769230769231,81.14883761431119,131,398,258.9577205882353,65.07492881929852,83.0,431.0
delay_,264.3333333333333,61.12786095239539,158,359,282.7307692307692,57.09890205060528,158,389,272.55555555555554,64.48812253987512,155,446,243.3,67.8670861265632,113,392,247.1,48.43221356024137,176,344,274.6666666666667,60.54750201288241,155,401,247.3793103448276,72.5132568141378,110,377,263.75,62.15370731769211,110,368,259.7857142857143,79.27138437640902,110,431,275.11538461538464,70.24604012929237,137,425,262.27472527472526,65.4789451904309,110.0,446.0
throughput_,275.3333333333333,53.363773364449294,143,359,271.6666666666667,57.15969532136057,173,410,254.72413793103448,74.31395588588234,137,401,260.10714285714283,66.18903304353445,146,380,278.46153846153845,63.14379194773198,83,422,257.51724137931035,64.31819376553639,74,386,264.7142857142857,66.72045449200003,134,374,289.88,50.804625773643885,185,377,249.3,72.9620354752364,95,431,243.6,59.45302405231811,155,374,264.7463503649635,63.64269310689777,74.0,431.0
delay_prq_,269.0,57.22425521241307,170,371,263.62068965517244,71.34244068129806,110,407,264.7142857142857,60.84641085787817,158,380,252.86206896551724,53.95482511054373,128,317,263.64285714285717,67.11858730563958,128,386,258.7586206896552,60.06166781639268,104,380,252.9655172413793,56.74723577825536,164,392,252.86206896551724,65.38060226634012,125,362,290.0,75.4088854180991,137,476,280.0769230769231,62.27161348603267,182,428,264.2043795620438,62.86126519620695,104.0,476.0
delay_pwtl_,246.7,63.17307916379003,104,365,252.4,54.5303458698884,101,341,252.3,73.5762096107815,101,410,276.77777777777777,57.14713353961747,149,386,251.6206896551724,56.889249419441185,140,323,275.77777777777777,75.91104780917715,128,425,255.0344827586207,68.39302531201591,101,449,245.1,77.14578675334837,95,416,257.51724137931035,60.67161061794362,149,413,272.22222222222223,73.57849462849096,134,407,258.2105263157895,66.63949069277496,95,449
act_throughput_mqr_,248.41379310344828,48.97267258480511,134,332,260.42857142857144,53.439774735767024,119,341,253.27586206896552,57.87109848109734,131,347,252.13793103448276,61.68220635872868,170,389,277.53846153846155,54.90371992441369,164,371,256.48275862068965,56.80833734689149,149,404,257.0,62.4465485721303,131,419,281.6923076923077,61.9675845782417,164,443,262.0357142857143,63.85949979670773,137,386,273.55555555555554,78.66009316298994,137,443,261.388679245283,60.0758978935704,119.0,443.0
veh_n_pwtl_,258.7586206896552,68.55845012647123,113,380,250.2,75.22490416674887,107,410,239.2,70.99703733498201,98,377,276.8888888888889,54.390562906935735,161,365,256.67857142857144,75.67183221302489,86,386,248.2,64.37144365804366,143,401,260.62068965517244,55.20896264783687,143,356,243.8,61.34829902371742,125,377,266.75,52.94415296643562,188,365,249.1,54.369330857856205,125,368,254.875,63.88551389021944,86.0,410.0
throughput_pwtl_,265.25,81.00874438396554,95,422,273.3333333333333,60.59893373014718,116,401,250.68965517241378,69.35936616547795,113,413,262.25,73.0462182457107,143,401,250.79310344827587,50.48010874899483,155,344,264.5,56.29979277640963,152,395,267.3333333333333,62.1388024444531,185,422,259.14285714285717,67.8815494954613,125,395,263.8888888888889,66.38601181049034,116,377,261.60714285714283,65.44963530765287,155,389,262.7769516728625,65.488694395736,95.0,422.0
