,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,62.660714285714285,30.38359964541936,7,118,57.80165289256198,32.654407521474226,7,118,64.27777777777777,31.985345164558566,10,118,55.829268292682926,30.987757317343515,7,118,61.81578947368421,34.11966598449258,7,118,63.330357142857146,33.80638790131774,7,118,66.43396226415095,33.38120910473137,7,118,59.37068965517241,32.34341010022821,7,118,63.94444444444444,33.26271335427213,7,118,63.027027027027025,33.27692606527545,7,118,62.23637218045113,32.16855453164364,7.0,118.0
veh_n_,58.65853658536585,34.92352987348888,7,118,60.76923076923077,32.37133273474963,7,118,60.81739130434783,31.89857352821614,7,115,61.80357142857143,33.75903997335795,7,118,56.47540983606557,31.21564905137189,7,118,62.810810810810814,32.46074930897692,10,118,57.40495867768595,33.41920069670446,7,115,64.75,36.25406841494502,7,118,61.078947368421055,31.35131921596404,7,118,65.3177570093458,32.08202874673664,7,118,61.05852059925093,32.42249199726329,7.0,118.0
delay_,62.567567567567565,28.961611463710693,10,118,67.17142857142858,31.841088942668797,7,118,64.1891891891892,32.928714607470575,7,118,57.46341463414634,31.229004142305147,7,115,57.775,32.20116979450364,7,118,64.66666666666667,30.740396266424774,7,118,58.32773109243698,32.825710583579244,7,118,61.9375,31.90449748012746,7,118,61.3421052631579,35.196246015473605,7,118,64.05607476635514,33.174447934637016,7,118,61.77979027645377,31.752218344602355,7.0,118.0
throughput_,64.5229357798165,33.18092834922206,10,115,64.02702702702703,32.0682395864193,7,115,59.666666666666664,33.652893506789425,7,118,60.66086956521739,33.95453279729877,7,118,65.41509433962264,32.162642607765065,7,118,60.37931034482759,33.167992735903326,7,118,62.17857142857143,33.93481145625284,7,118,67.75728155339806,31.3342092136917,7,118,58.68292682926829,32.7054206850046,7,118,57.36065573770492,31.88047553327289,7,118,62.55428571428571,32.23671541130282,7.0,118.0
delay_prq_,62.60909090909091,33.082908210732214,7,118,61.94871794871795,34.36062455622568,7,118,61.78260869565217,34.802647259840825,7,118,59.347457627118644,32.79914974889327,7,118,61.910714285714285,32.84815010393987,7,118,60.847457627118644,33.00080991459993,7,118,59.588235294117645,33.17478411529923,7,118,59.21551724137931,30.691113579888448,7,118,68.67647058823529,30.05511826552296,7,118,65.93457943925233,33.26204449973862,7,118,62.639150943396224,32.37581380277161,7.0,118.0
delay_pwtl_,57.26829268292683,33.46911303558917,7,118,59.1,31.447274801435096,7,118,59.075,31.18369604712796,7,115,65.19444444444444,33.34847397574443,7,118,59.6271186440678,32.388611644780354,7,118,64.94444444444444,34.32958271259911,7,118,59.758620689655174,33.23293826773441,7,118,57.082644628099175,32.799031178999655,7,118,60.37931034482759,33.13730465080466,7,118,64.46788990825688,31.820261658065725,10,118,60.89720930232558,32.2117845066997,7.0,118.0
act_throughput_mqr_,58.65546218487395,31.8692873178705,7,118,60.504347826086956,30.59393756969355,7,118,59.48717948717949,29.647822326441872,10,115,59.03448275862069,31.19223176271347,7,118,65.37383177570094,29.400463147579636,7,118,60.12068965517241,32.953763438151206,7,118,59.95762711864407,30.66287436635352,7,118,65.96261682242991,33.32032221232144,7,118,62.008849557522126,31.6770803734513,7,118,64.08181818181818,34.099996453544925,7,118,61.457699619771866,30.94159606290781,7.0,118.0
veh_n_pwtl_,60.689655172413794,32.58204728216831,7,118,58.55,33.34763418718565,7,118,56.048780487804876,30.232664361617864,7,118,65.22222222222223,33.479616712299624,7,118,60.45217391304348,33.67628231926265,7,118,58.05,31.73944607227401,7,118,61.857142857142854,31.32857192541975,7,118,56.5,31.63460026433553,7,118,62.56637168141593,32.736195592895854,7,118,58.275,31.49548787211465,7,118,60.031050228310505,31.65706820538445,7.0,118.0
throughput_pwtl_,62.3125,34.511528626070856,7,118,64.71559633027523,31.44015236012915,7,115,58.32773109243698,31.512200823500656,7,115,61.78947368421053,34.00688990164327,7,118,58.86440677966102,28.721746504950815,7,115,61.769911504424776,35.284812811897844,7,118,63.027027027027025,33.06480124061056,7,118,60.86842105263158,33.069653805182135,7,118,62.37837837837838,32.810490022678046,7,118,61.417391304347824,35.522906523423075,7,118,61.7022792022792,32.144249415186195,7.0,118.0
