step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
849.00,1_114,-0.29,35.00,615.10,0.00,0,5.32
856.00,1_94,-0.43,185.00,615.10,142.00,1,155.52
908.00,1_122,-0.43,37.00,615.10,0.00,0,5.85
937.00,1_126,0.00,37.00,615.10,0.00,0,5.87
954.00,1_100,-0.29,240.00,596.93,196.00,1,209.91
956.00,1_101,-0.43,235.00,615.10,188.00,1,201.93
956.00,1_128,-0.29,42.00,615.10,0.00,0,12.96
957.00,1_103,-0.71,222.00,596.93,176.00,1,188.43
957.00,1_120,-0.14,100.00,617.75,52.00,1,64.46
959.00,1_105,0.00,209.00,596.93,164.00,1,179.34
961.00,1_107,-0.29,197.00,596.93,150.00,1,165.98
963.00,1_108,-0.43,192.00,596.93,145.00,1,162.39
983.00,1_132,-0.86,41.00,596.93,0.00,0,8.44
990.00,1_133,0.00,40.00,596.93,0.00,0,8.95
1011.00,1_99,-0.14,304.00,617.75,261.00,1,273.52
1012.00,1_109,-0.57,234.00,615.10,188.00,1,200.51
1013.00,1_111,-0.86,221.00,615.10,171.00,1,184.46
1013.00,1_117,-0.71,178.00,596.93,131.00,1,145.59
1014.00,1_113,-0.14,207.00,615.10,155.00,1,175.11
1014.00,1_116,-0.57,186.00,615.10,141.00,1,158.43
1015.00,1_131,-0.71,80.00,615.10,32.00,1,50.36
1016.00,1_110,-0.71,231.00,617.75,182.00,1,195.44
1016.00,1_123,-0.57,138.00,596.93,92.00,1,105.95
1017.00,1_124,-0.71,132.00,596.93,85.00,1,102.37
1019.00,1_121,-0.29,155.00,617.75,107.00,1,124.98
1051.00,1_134,-0.14,94.00,617.75,51.00,1,66.65
1052.00,1_115,-0.43,231.00,596.93,186.00,1,197.11
1052.00,1_118,-0.86,210.00,615.10,164.00,1,177.42
1054.00,1_119,0.00,204.00,596.93,160.00,1,174.06
1056.00,1_125,-0.86,164.00,596.93,120.00,1,135.22
1063.00,1_127,-0.14,156.00,596.93,102.00,1,116.89
1064.00,1_135,-0.29,100.00,596.93,47.00,1,68.34
1065.00,1_136,-0.43,94.00,596.93,45.00,1,64.91
1067.00,1_137,-0.57,89.00,596.93,36.00,1,57.65
1079.00,1_144,-0.57,51.00,596.93,0.00,0,8.07
1088.00,1_147,0.00,38.00,615.10,0.00,0,5.61
1151.00,1_156,-0.29,37.00,596.93,0.00,0,10.02
1173.00,1_152,-0.71,88.00,615.10,43.00,1,58.20
1174.00,1_151,-0.57,96.00,596.93,50.00,1,63.90
1175.00,1_129,-0.43,254.00,617.75,207.00,1,220.56
1177.00,1_130,-0.57,249.00,617.75,202.00,1,216.81
1179.00,1_140,0.00,179.00,617.75,132.00,1,148.81
1181.00,1_141,-0.14,174.00,617.75,128.00,1,145.29
1184.00,1_154,0.00,84.00,617.75,36.00,1,52.48
1187.00,1_157,-0.43,66.00,617.75,16.00,1,34.85
1188.00,1_160,-0.86,46.00,615.10,0.00,0,9.37
1190.00,1_161,0.00,40.00,617.75,0.00,0,9.48
1199.00,1_163,-0.29,35.00,615.10,0.00,0,6.25
1225.00,1_166,-0.71,40.00,596.93,0.00,0,8.39
1232.00,1_167,-0.86,40.00,617.75,0.00,0,7.44
1250.00,1_169,-0.14,43.00,596.93,0.00,0,8.46
1255.00,1_145,-0.71,220.00,615.10,177.00,1,192.09
1256.00,1_138,-0.71,271.00,596.93,227.00,1,239.42
1258.00,1_139,-0.86,266.00,617.75,219.00,1,231.24
1260.00,1_143,-0.43,239.00,617.75,194.00,1,208.93
1261.00,1_146,-0.86,219.00,615.10,166.00,2,182.43
1261.00,1_150,-0.43,190.00,615.10,143.00,1,156.84
1273.00,1_173,-0.71,38.00,596.93,0.00,0,10.50
1279.00,1_155,-0.14,172.00,615.10,128.00,1,143.19
1280.00,1_148,-0.14,223.00,596.93,177.00,1,189.95
1282.00,1_142,-0.29,268.00,617.75,220.00,1,232.19
1282.00,1_149,-0.29,218.00,596.93,174.00,1,186.78
1283.00,1_165,-0.57,105.00,615.10,54.00,1,69.94
1284.00,1_153,-0.86,192.00,617.75,145.00,1,156.07
1284.00,1_168,0.00,84.00,615.10,38.00,1,51.45
1287.00,1_158,-0.57,159.00,596.93,109.00,1,123.64
1343.00,1_183,-0.14,36.00,615.10,0.00,0,5.79
1353.00,1_159,-0.71,218.00,615.10,175.00,1,189.64
1354.00,1_176,-0.14,97.00,615.10,52.00,1,67.12
1355.00,1_164,-0.43,184.00,617.75,139.00,1,152.16
1356.00,1_162,-0.14,199.00,596.93,154.00,1,166.92
1356.00,1_179,-0.57,78.00,615.10,29.00,1,47.43
1357.00,1_178,-0.43,86.00,617.75,41.00,1,55.38
1359.00,1_177,-0.29,95.00,596.93,48.00,1,63.64
1361.00,1_181,-0.86,69.00,596.93,22.00,1,38.15
1369.00,1_170,-0.29,155.00,596.93,114.00,1,125.67
1372.00,1_171,-0.43,151.00,615.10,103.00,1,115.48
1373.00,1_184,-0.29,59.00,617.75,12.00,1,23.67
