,ext1,,,,ext2,,,,ext3,,,,ext4,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_1e-05_0.7_0.6,24.268788360991135,16.048840675960584,0,39,24.1267912628113,16.188329858013464,0,39,24.20587283236994,16.153100422599742,0,39,23.732247830549593,16.218614458905485,0,39,23.92085701295749,15.694316807291354,0.0,39.0
rf_avg_veh_number_0.0001_0.7_0.6,24.249143672692675,16.416176557900332,0,39,23.734439834024897,16.194282385922655,0,39,24.066249042318265,15.921398294379454,0,39,24.632488961189868,16.121265109301177,0,39,24.014109844217106,15.670595711560019,0.0,39.0
rf_avg_veh_number_0.001_0.7_0.6,23.79135320445672,16.18875805385977,0,39,24.277473306245867,15.999231317574118,0,39,23.542978604129683,16.448309326075158,0,39,23.553343567111195,16.152686820789437,0,39,23.656490392101905,15.817167567031898,0.0,39.0
rf_avg_veh_number_0.01_0.7_0.6,24.509880862329805,16.382472830779843,0,39,24.211012991816542,16.24069484574924,0,39,23.907994745237872,16.246760794704286,0,39,25.131405746448188,16.334292297909254,0,39,24.264910807498524,15.893568663806231,0.0,39.0
rf_avg_veh_number_0.1_0.7_0.6,24.183771439224458,16.340253569118993,0,39,24.386341234452008,16.294955760536855,0,39,24.11162768632288,16.16448146854352,0,39,23.68831533174358,15.890889053326868,0,39,23.969709327616204,15.878498202598193,0.0,39.0
