step,tl_id,start_at_step,cycle_time
216,0,-1,221
530,0,220,314
712,0,534,182
984,0,716,272
1223,0,988,239
1387,0,1227,164
1647,0,1391,260
1871,0,1651,224
2116,0,1875,245
2346,0,2120,230
2651,0,2350,305
2857,0,2655,206
3126,0,2861,269
3353,0,3130,227
3727,0,3357,374
