,exp1,,,,exp2,,,,exp3,,,,exp4,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_1e-05_0.7_0.6,237.08737137249406,178.47200936937966,4.45,1221.38,230.51884760970137,178.90337144925442,4.6,1091.06,238.61692345436705,177.26438959775635,4.47,1372.03,228.8020748633114,167.12454789582975,4.47,1266.81,221.75621983123656,136.79740951792675,4.45,1308.76
rf_avg_veh_number_0.0001_0.7_0.6,228.6532763213234,160.701623446115,4.44,1028.39,227.68627505958224,160.62769504486556,4.16,1143.68,228.87370671526705,170.54996146433066,4.5,1438.88,238.26006378802742,174.430164399547,4.6,1131.64,217.22422061315137,120.37173352107565,4.44,1129.93
rf_avg_veh_number_0.001_0.7_0.6,222.8027029300435,162.75584277505527,4.38,1137.72,238.64431375297912,170.57867017785284,4.58,1460.84,236.18130520117762,185.01307867194234,4.5,1142.53,224.69080681340247,153.41327573378857,3.9,949.83,214.2939882397905,118.47627619193892,4.58,932.07
rf_avg_veh_number_0.01_0.7_0.6,235.0540487873265,168.86361695816427,4.29,1114.47,236.20230548156454,166.44200417711602,4.49,1000.86,231.7375816626945,169.64047294804877,4.44,1038.59,239.57894924996495,180.61850473940146,4.36,1041.92,220.51422145117297,123.49879655275103,4.29,884.63
rf_avg_veh_number_0.1_0.7_0.6,231.9416556848451,157.7174131143665,4.57,1048.59,231.33522080471047,178.11035626975792,4.56,1331.92,231.70374036169915,182.05464775319354,4.34,1580.6,224.70025375017525,160.56102932471356,4.51,1039.29,216.31218526204324,121.09255851461744,4.34,942.7349999999999
