,ext1,,,,ext2,,,,ext3,,,,ext4,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_1e-05_0.7_0.6,12.378073299487259,9.36926245442124,0.0,27.63888888888889,12.277539458022229,13.696153394561575,0,39,12.717239563262684,13.814569769604839,0,39,12.22570319222834,13.635561222169112,0,39,12.20044190460236,9.435511537916726,0.0,26.160550458715598
rf_avg_veh_number_0.0001_0.7_0.6,12.479335817739718,9.514531532395319,0.0,28.194444444444443,12.536016222243665,13.654681475440633,0,39,11.815402777151842,13.52869869001357,0,39,12.79399514550572,13.757331598685322,0,39,12.128966143504185,9.208233978531565,0.0,26.3868501529052
rf_avg_veh_number_0.001_0.7_0.6,12.161046831518691,9.251879064012522,0.0,28.77777777777778,12.944684609489013,13.807428562746416,0,39,12.609568189604161,13.909957199775972,0,39,12.336632660675642,13.468587595667179,0,39,12.505102710918784,9.55525495119127,0.0,26.26758409785933
rf_avg_veh_number_0.01_0.7_0.6,12.740442196167422,9.583388855227152,0.0,28.444444444444443,12.564929544181936,13.749704011924651,0,39,12.487303598052401,13.72670397388852,0,39,12.55817812274623,13.908878246500205,0,39,12.368188128879588,9.318969833089046,0.0,25.17915392456677
rf_avg_veh_number_0.1_0.7_0.6,12.433797332007623,9.457253967700437,0.0,28.055555555555557,12.494999869618503,13.677671088697071,0,39,12.606602938153296,13.81321777002159,0,39,12.04306743972195,13.366193842408052,0,39,12.279006533795823,9.269139400259,0.0,27.004841997961265
