,exp1,,,,exp2,,,,exp3,,,,exp4,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_1e-05_0.7_0.6,1843.1831627646152,1860.3017075232901,-0.8,7040.8,1795.47210150007,1851.0470881697065,-0.8,6295.0,1830.0958222346835,1826.937347863535,-0.9,6114.1,1796.601079489696,1869.8458759180082,-0.6,6861.1,1738.0375124100206,1949.4771034423184,0.0,7028.0
rf_avg_veh_number_0.0001_0.7_0.6,1802.634445534838,1839.925802418138,-0.7,6270.9,1698.0117762512266,1777.5670678493484,-0.9,5887.3,1763.7996635356792,1881.4535888804162,-0.9,7269.3,1913.2911117341932,1876.5617028994416,-0.8,6509.0,1732.4268437247829,1954.0042284689823,0.0,7266.2
rf_avg_veh_number_0.001_0.7_0.6,1757.4347399411188,1815.346950835092,-0.8,5968.0,1757.4925697462497,1808.5293282072582,-0.9,5867.0,1832.0610542548718,1879.6360242450664,-0.7,6729.0,1699.7767419038273,1799.861056488937,-0.7,6064.9,1660.0791232656234,1887.0295693186974,0.0,6729.0
rf_avg_veh_number_0.01_0.7_0.6,1835.3329594840884,1864.5689773200104,-0.8,6389.9,1837.703701107528,1872.5660832300184,-0.5,6154.9,1840.9116781157998,1890.2797554952972,-0.9,6296.9,1964.6326230197674,1977.7451507857425,-0.8,6833.0,1760.3247929225415,1958.4721443164376,-0.5,6823.4
rf_avg_veh_number_0.1_0.7_0.6,1752.0961727183512,1810.3510421513581,-0.8,6043.0,1808.9634095051172,1840.3899026058918,-0.7,5970.8,1768.2205944203,1831.479071331941,-0.5,6278.8,1754.75150707977,1830.1522873414197,-0.6,6452.0,1667.0769232316634,1880.8434786918071,-0.4,6449.0
