,exp1,,,,exp2,,,,exp3,,,,exp4,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_1e-05_0.7_0.6,1.6338847609701388,1.2764078392378317,0,11,1.498387775129679,1.1440411741365486,0,10,1.6668302257114818,1.272796173407225,0,10,1.5684845086218981,1.2003501836014743,0,14,1.5290365946504318,0.8667903738437825,0.0,11.0
rf_avg_veh_number_0.0001_0.7_0.6,1.5237627926538624,1.098462884652146,0,10,1.4969858404598346,1.116437752676075,0,10,1.4491097714846488,1.120798926849401,0,11,1.6116640964531053,1.2268356731728662,0,12,1.4478511715498277,0.7423041613130589,0.0,9.0
rf_avg_veh_number_0.001_0.7_0.6,1.4560493481003784,1.1189644874159625,0,11,1.5493481003785223,1.1526880435380746,0,11,1.5462638441048646,1.233313890286133,0,11,1.4765876910135987,1.084598235545353,0,11,1.4201153392062484,0.7373419798716233,0.0,9.0
rf_avg_veh_number_0.01_0.7_0.6,1.5466143277723259,1.1469492435433803,0,10,1.6107528389177064,1.18014626914622,0,12,1.5704472171596804,1.1660491244307272,0,10,1.5988363942240291,1.222786939472342,0,9,1.4942038044923807,0.7732545394789444,0.0,8.0
rf_avg_veh_number_0.1_0.7_0.6,1.539674751156596,1.0967895696218217,0,10,1.6102621617832609,1.2422365327065017,0,11,1.5184354409084537,1.2036762090930282,0,12,1.5119164446936773,1.093154117175523,0,10,1.4678714271878917,0.7521984052036966,0.0,9.0
