,exp1,,,,exp2,,,,exp3,,,,exp4,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_1e-05_0.7_0.6,202.8721435581102,164.46973941520454,0.0,1110.0,197.2965792794056,165.98817946441727,0.0,994.0,203.630730407963,164.13687292034882,0.0,1273.0,195.19311650077105,154.2215446053907,0.0,1143.0,189.4109869204765,126.22356455060174,0.0,1207.0
rf_avg_veh_number_0.0001_0.7_0.6,195.1704752558531,148.7349339433288,0.0,932.0,194.57423244076827,149.06560890426155,0.0,1037.0,196.4494602551521,159.28758633440782,0.0,1324.0,204.18000841160801,161.09124795416636,0.0,1040.0,185.7137595932646,111.08174328378347,0.0,1036.0
rf_avg_veh_number_0.001_0.7_0.6,190.2721856161503,151.4424904301756,0.0,1041.0,204.62953876349363,158.43072285413734,0.0,1351.0,202.51016402635636,171.59798775763284,0.0,1056.0,191.89885041357073,142.5525903389629,0.0,846.0,183.08658094430822,109.43563546430192,0.0,844.0
rf_avg_veh_number_0.01_0.7_0.6,201.24120285994672,155.85954811829654,0.0,1015.0,201.81024814243656,153.31892067355366,0.0,911.0,198.0431094910977,156.89008489163837,0.0,932.0,205.48513949249966,166.90922441195715,0.0,955.0,188.5009230886484,113.43369948261687,0.0,795.0
rf_avg_veh_number_0.1_0.7_0.6,198.1387915323146,146.11007743427214,0.0,942.0,197.75928781718773,164.87616089912183,0.0,1256.0,198.42086078788728,169.06325140592554,0.0,1471.0,191.66150287396607,148.74114886404607,0.0,951.0,184.66803213049005,111.7585345486066,0.0,864.5
