,ext1,,,,ext2,,,,ext3,,,,ext4,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_1e-05_0.7_0.6,269.8972381887004,178.48111104464957,32,1255,263.328543389878,178.92929814346692,32,1120,271.41938875648395,177.33506830050894,32,1406,261.6115239029861,167.1746712337158,32,1294,254.53037319316226,136.8262617280332,32.0,1341.0
rf_avg_veh_number_0.0001_0.7_0.6,261.45927379784104,160.74176830238298,32,1064,260.4899761671106,160.7012801496988,33,1176,261.67895696060566,170.58007292017987,32,1472,271.06161502873965,174.43005880489338,32,1164,250.00074445818342,120.41351777197765,32.0,1164.0
rf_avg_veh_number_0.001_0.7_0.6,255.6034627786345,162.78694200867,32,1172,271.45289499509323,170.6149765730299,32,1499,268.99137810178047,185.05725451212234,33,1177,257.49130800504696,153.41869598962919,32,981,247.0541182807092,118.5376116985412,32.0,962.0
rf_avg_veh_number_0.01_0.7_0.6,267.8609280807514,168.9723003370659,30,1150,269.0107248002243,166.47521903586522,33,1037,264.54282910416373,169.7138430610854,32,1069,272.3855320342072,180.70075798921474,32,1081,253.31769679551817,123.55990409008893,32.0,916.0
rf_avg_veh_number_0.1_0.7_0.6,264.7451282770223,157.76738796618358,32,1079,264.1414552081873,178.1871125426806,32,1372,264.51212673489414,182.09058391425154,32,1613,257.5099537361559,160.60208332507386,32,1072,249.0910088155119,121.1872245101765,32.0,981.5
