,exp1,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max
ql_,63.027027027027025,33.27692606527545,7,118,63.027027027027025,33.27692606527545,7,118
veh_n_,65.3177570093458,32.08202874673664,7,118,65.3177570093458,32.08202874673664,7,118
delay_,64.05607476635514,33.174447934637016,7,118,64.05607476635514,33.174447934637016,7,118
throughput_,57.36065573770492,31.88047553327289,7,118,57.36065573770492,31.88047553327289,7,118
delay_prq_,65.93457943925233,33.26204449973862,7,118,65.93457943925233,33.26204449973862,7,118
delay_pwtl_,64.46788990825688,31.820261658065725,10,118,64.46788990825688,31.820261658065725,10,118
act_throughput_mqr_,64.08181818181818,34.099996453544925,7,118,64.08181818181818,34.099996453544925,7,118
veh_n_pwtl_,58.275,31.49548787211465,7,118,58.275,31.49548787211465,7,118
throughput_pwtl_,61.417391304347824,35.522906523423075,7,118,61.417391304347824,35.522906523423075,7,118
