,exp1,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max
ql_,35.95495495495496,31.14464418786738,0,102,35.95495495495496,31.14464418786738,0,102
veh_n_,37.73831775700935,29.716692611811133,0,99,37.73831775700935,29.716692611811133,0,99
delay_,36.308411214953274,30.894040218735622,0,108,36.308411214953274,30.894040218735622,0,108
throughput_,32.877049180327866,29.474902580497066,0,97,32.877049180327866,29.474902580497066,0,97
delay_prq_,38.205607476635514,31.930862316253947,0,117,38.205607476635514,31.930862316253947,0,117
delay_pwtl_,37.669724770642205,30.360505243280308,0,97,37.669724770642205,30.360505243280308,0,97
act_throughput_mqr_,36.29090909090909,31.049633381264357,0,105,36.29090909090909,31.049633381264357,0,105
veh_n_pwtl_,33.38333333333333,30.00985365720084,0,108,33.38333333333333,30.00985365720084,0,108
throughput_pwtl_,35.21739130434783,31.744258386414266,0,108,35.21739130434783,31.744258386414266,0,108
