,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,290.72,66.59549534315366,140,401,264.7142857142857,64.7427142435274,161,368,260.75,62.29299050990141,167,416,254.64285714285714,65.870363304788,146,398,263.85714285714283,67.24015240344191,125,431,265.0357142857143,63.372199853608635,137,374,258.44827586206895,72.77979812268185,131,404,247.48275862068965,68.09060176897457,122,371,271.6666666666667,68.0367547726962,119,431,253.48275862068965,75.44043094183421,119,404,263.8866171003717,67.12826861386623,119.0,431.0
veh_n_,267.0,81.36243699549661,113,410,255.0344827586207,85.24690306843188,77,386,231.59375,88.61837695349068,92,440,245.20689655172413,55.32848614692385,137,353,248.51724137931035,75.26126906111573,86,437,273.1111111111111,59.659503939074206,158,371,246.4,80.73225223988328,101,374,258.07142857142856,62.36566515700919,107,374,262.67857142857144,57.080874121514555,125,368,268.8888888888889,72.6627263104805,134,413,255.10915492957747,73.05644548460575,77.0,440.0
delay_,272.3333333333333,78.5586503095715,134,389,267.0,65.19261402242529,122,377,264.6666666666667,54.13657941511665,155,374,249.3448275862069,74.52960862352865,137,413,274.77777777777777,75.12417071516347,113,446,260.0,81.10898018509829,104,446,264.92857142857144,77.01174925821074,101,401,263.75,68.81678574301476,134,413,267.0,69.8724111946471,164,425,254.82758620689654,61.99658341134456,164,380,263.8911439114391,70.32740993343833,101.0,446.0
throughput_,246.4,63.87682111581688,125,395,258.5,74.55870170543476,74,428,257.0,77.30028029272167,116,398,246.6551724137931,49.92084868073585,113,368,248.82758620689654,63.59866854262036,152,419,291.56,68.48240649977188,128,398,270.77777777777777,73.00860504253187,131,395,246.0,91.72936204983094,77,443,294.92,55.18749858437145,179,425,261.07142857142856,65.06004552572588,128,377,261.2637362637363,70.01870839779103,74.0,443.0
delay_prq_,257.75,58.94983743262854,143,383,259.0689655172414,64.19831497259251,122,353,265.0357142857143,60.6358176406683,161,422,249.55172413793105,71.12694195536022,74,374,267.3333333333333,66.36264009214823,125,368,254.10714285714286,55.42852540498826,158,374,248.41379310344828,63.98577813042259,125,362,262.25,73.47391827489989,119,407,258.7142857142857,42.62572440384305,170,335,258.5,77.09517926995609,101,395,257.80685920577616,63.59084044901997,74.0,422.0
delay_pwtl_,225.3125,60.1929357659936,113,353,273.22222222222223,68.31056531264643,161,416,249.86206896551724,66.80554090467723,119,386,249.0344827586207,77.65835561640701,119,422,241.4,57.33603308265381,113,362,272.55555555555554,58.43953702057784,185,386,263.32142857142856,63.04675136073909,113,383,264.77777777777777,58.06649592250206,119,383,252.55172413793105,66.68132433281694,134,392,254.72413793103448,68.3854080883405,143,416,254.05244755244755,65.3680058359663,113,422
act_throughput_mqr_,260.0,79.9666597193272,92,440,277.1111111111111,63.10329342455622,137,383,279.03846153846155,87.78450012125411,122,455,264.8888888888889,83.64960496174749,113,425,277.88461538461536,65.93713789546945,116,386,246.3,50.96459217115755,161,338,234.93548387096774,69.99092107022213,104,371,265.57142857142856,67.86611469510777,155,401,265.22222222222223,72.82029162118805,101,401,289.88,60.11538904473629,191,383,265.34200743494426,71.05656605506108,92.0,455.0
veh_n_pwtl_,260.2142857142857,71.42328551869981,116,389,262.57142857142856,66.00865744084527,155,398,242.3,55.2574850601474,152,350,250.89655172413794,50.4135361836667,152,365,245.0,77.96816326397987,116,374,241.5,57.996284066457584,89,353,250.79310344827587,75.18804013478703,101,398,248.51724137931035,71.13348653344599,80,422,242.6,68.74269867185645,104,362,258.39285714285717,63.14260127075931,140,395,250.61052631578949,65.55452166968908,80.0,422.0
throughput_pwtl_,248.82758620689654,73.69389825754972,134,386,243.5,72.33006242935564,134,410,251.93103448275863,69.7740900716032,116,374,227.375,80.04545079858309,74,437,251.10344827586206,65.81214869806453,128,374,271.6666666666667,68.93642556175051,134,389,245.2,62.90353863189092,122,374,258.60714285714283,63.70495607542186,140,398,268.3333333333333,61.1335234736858,119,371,249.86206896551724,56.47548402241899,167,398,251.66842105263157,67.78557004481826,74.0,437.0
