,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,52.73529411764706,33.770021995198675,0,105,47.982142857142854,33.86405842518662,0,104,47.53508771929825,32.09145664838613,0,107,45.91304347826087,34.487364891322386,0,108,47.910714285714285,35.95155738997239,0,117,49.1140350877193,35.22362410483061,0,108,47.275862068965516,33.04873508252203,0,108,44.109243697478995,31.422703094452935,0,107,49.2037037037037,33.14080954325672,0,108,45.60344827586207,31.106235726128535,0,109,47.66043464365612,32.99642419963596,0.0,117.0
veh_n_,47.31818181818182,37.54995005266271,0,111,46.06896551724138,34.234415467461986,0,111,41.21875,31.030068602571845,0,105,44.285714285714285,32.65566186461363,0,117,44.559322033898304,32.37613935503171,0,114,49.379629629629626,32.60087654133571,0,108,43.833333333333336,32.24416651907448,0,109,45.824561403508774,30.56785448280656,0,108,47.6875,35.89123490830656,0,114,47.96363636363636,33.98945526519002,0,105,45.71555763823805,33.11040258275461,0.0,117.0
delay_,49.25688073394495,32.71464834146951,0,106,48.481818181818184,32.54713781809585,0,111,48.03603603603604,31.01463816503073,0,114,44.855932203389834,33.35314165899936,0,113,49.6605504587156,33.91771638656375,0,117,46.13913043478261,32.476141568342875,0,105,47.9375,34.26875267513993,0,108,47.910714285714285,33.4896927995693,0,109,48.35454545454545,32.04028037182656,0,109,45.758620689655174,30.73975493937994,0,106,47.70440849984141,32.186888990311914,0.0,117.0
throughput_,44.225,28.490441416391572,0,111,46.728070175438596,31.363494107233986,0,103,46.791304347826085,31.77842577559469,0,106,43.924369747899156,30.46786572374955,0,113,44.95798319327731,34.629857539212544,0,109,52.772277227722775,32.24248166258882,0,108,49.596330275229356,35.82057118112105,0,108,43.983333333333334,31.85945589573037,0,114,53.83168316831683,32.95878314104775,0,104,46.94642857142857,31.362696406220014,0,108,47.708931419457734,31.84968027879242,0.0,114.0
delay_prq_,46.28695652173913,36.390852238177935,0,106,46.991379310344826,31.137422107044504,0,108,47.46017699115044,32.743329581935484,0,111,43.99159663865546,32.260984411913896,0,106,48.53636363636364,32.948577470017554,0,108,46.47826086956522,32.50731303041926,0,117,44.27731092436975,32.581819920283166,0,108,47.230088495575224,34.49275515275364,0,110,46.9646017699115,34.516799533896695,0,105,46.473214285714285,34.35846010178979,0,109,46.642299281474536,32.86049532834349,0.0,117.0
delay_pwtl_,39.83076923076923,30.73546507468507,0,107,49.851851851851855,35.277488735620985,0,105,44.17094017094017,31.259009900675476,0,111,44.66101694915254,33.654153637799794,0,111,42.9344262295082,31.61774209138475,0,108,49.24770642201835,32.801636127695744,0,117,47.330357142857146,32.978395437574974,0,106,48.06306306306306,30.966045709712226,0,111,45.21186440677966,34.778874542500596,0,111,45.956896551724135,33.69773369785889,0,109,45.73888377798221,32.195853335933485,0.0,117.0
act_throughput_mqr_,46.3304347826087,31.841361641940104,0,105,51.01851851851852,30.822367615876818,0,111,50.56603773584906,33.99216124425902,0,105,48.027027027027025,32.08326084636078,0,106,49.42056074766355,30.608926242524934,0,111,44.11666666666667,32.62189380128126,0,111,41.776,32.68862483415885,0,104,48.455357142857146,31.392857508898462,0,114,48.0990990990991,32.569074834029834,0,109,52.49,34.770966351398705,0,111,48.49079457364341,31.92482778415512,0.0,114.0
veh_n_pwtl_,46.921052631578945,31.628693351606366,0,109,47.1875,32.02969659494083,0,107,42.78333333333333,32.26705355464052,0,106,44.69230769230769,31.903264760636453,0,109,43.47540983606557,34.275310516283746,0,111,43.71544715447155,30.985327126471965,0,108,44.64957264957265,32.46332579030561,0,111,44.779661016949156,32.708538207614545,0,114,43.1869918699187,30.048689885381066,0,103,46.771929824561404,35.028189681298315,0,114,44.95634920634921,32.007804027593934,0.0,114.0
throughput_pwtl_,44.96610169491525,30.86001816955828,0,105,43.8099173553719,32.055762365391445,0,111,45.61538461538461,33.05764196532615,0,109,40.2442748091603,33.97172842754205,0,111,45.36752136752137,33.01321529812963,0,108,49.585585585585584,36.002390947993355,0,117,43.900826446280995,32.704588097767385,0,114,47.18260869565217,32.49631088608655,0,109,48.4,33.149702144869686,0,111,44.983050847457626,34.26592412915115,0,108,45.57606366697275,32.605527276214914,0.0,117.0
