,exp1,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max
ql_,25.086206896551722,27.883786457839378,0,111,25.086206896551722,27.883786457839378,0,111
veh_n_,24.228813559322035,29.144617604841965,0,114,24.228813559322035,29.144617604841965,0,114
delay_,22.666666666666668,25.571578064714032,0,90,22.666666666666668,25.571578064714032,0,90
throughput_,22.311475409836067,28.23867635767078,0,99,22.311475409836067,28.23867635767078,0,99
delay_prq_,27.88235294117647,31.908679609514685,0,117,27.88235294117647,31.908679609514685,0,117
delay_pwtl_,25.289473684210527,27.724856642131353,0,100,25.289473684210527,27.724856642131353,0,100
act_throughput_mqr_,20.401639344262296,23.30099839526109,0,93,20.401639344262296,23.30099839526109,0,93
veh_n_pwtl_,23.016129032258064,27.82727908575592,0,103,23.016129032258064,27.82727908575592,0,103
throughput_pwtl_,20.450819672131146,26.033069388797085,0,95,20.450819672131146,26.033069388797085,0,95
