step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
32,0,25,1,7,6,0
58,0,36,2,22,18,0
129,0,62,3,67,58,0
161,0,133,0,28,10,0
247,0,165,1,82,63,0
336,0,251,2,85,49,0
359,0,340,3,19,0,14
421,0,363,0,58,26,0
504,0,425,1,79,40,0
557,0,508,2,49,6,0
583,0,561,3,22,0,24
675,0,587,0,88,52,0
689,0,679,1,10,0,6
745,0,693,2,52,15,0
846,0,749,3,97,19,0
860,0,850,0,10,0,5
919,0,864,1,55,11,0
990,0,923,2,67,20,0
1001,0,994,3,7,0,18
1108,0,1005,0,103,60,0
1227,0,1112,1,115,74,0
1346,0,1231,2,115,72,0
1468,0,1350,3,118,39,0
1575,0,1472,0,103,38,0
1658,0,1579,1,79,13,0
1744,0,1662,2,82,27,0
1776,0,1748,3,28,0,13
1877,0,1780,0,97,54,0
1951,0,1881,1,70,29,0
2004,0,1955,2,49,0,0
2072,0,2008,3,64,0,4
2122,0,2076,0,46,1,0
2139,0,2126,1,13,0,10
2207,0,2143,2,64,37,0
2281,0,2211,3,70,26,0
2391,0,2285,0,106,62,0
2411,0,2395,1,16,0,33
2527,0,2415,2,112,82,0
2586,0,2531,3,55,9,0
2693,0,2590,0,103,37,0
2785,0,2697,1,88,13,0
2859,0,2789,2,70,20,0
2894,0,2863,3,31,0,10
2929,0,2898,0,31,0,5
2943,0,2933,1,10,0,25
3044,0,2947,2,97,74,0
3058,0,3048,3,10,0,23
3135,0,3062,0,73,37,0
3191,0,3139,1,52,0,14
3250,0,3195,2,55,19,0
3351,0,3254,3,97,22,0
3413,0,3355,0,58,15,0
3499,0,3417,1,82,10,0
3552,0,3503,2,49,17,0
3563,0,3556,3,7,0,22
3604,0,3567,0,37,0,2
3618,0,3608,1,10,0,17
3716,0,3622,2,94,81,0
3754,0,3720,3,34,0,16
3774,0,3758,0,16,0,11
3887,0,3778,1,109,36,0
4003,0,3891,2,112,83,0
4074,0,4007,3,67,0,7
4115,0,4078,0,37,0,16
4177,0,4119,1,58,20,0
4197,0,4181,2,16,0,10
4250,0,4201,3,49,0,12
4342,0,4254,0,88,3,0
4371,0,4346,1,25,0,4
4412,0,4375,2,37,0,8
4492,0,4416,3,76,1,0
4545,0,4496,0,49,11,0
4583,0,4549,1,34,0,10
4621,0,4587,2,34,0,15
4641,0,4625,3,16,0,4
4757,0,4645,0,112,98,0
4795,0,4761,1,34,0,9
4839,0,4799,2,40,0,13
4871,0,4843,3,28,0,6
4954,0,4875,0,79,62,0
5013,0,4958,1,55,0,6
5051,0,5017,2,34,0,13
5071,0,5055,3,16,0,15
5151,0,5075,0,76,49,0
5258,0,5155,1,103,47,0
5314,0,5262,2,52,0,7
5427,0,5318,3,109,29,0
5501,0,5431,0,70,19,0
5611,0,5505,1,106,62,0
5679,0,5615,2,64,0,8
5702,0,5683,3,19,0,13
5734,0,5706,0,28,0,2
5811,0,5738,1,73,43,0
5843,0,5815,2,28,0,13
5860,0,5847,3,13,0,19
5919,0,5864,0,55,8,0
6041,0,5923,1,118,81,0
6100,0,6045,2,55,0,7
6117,0,6104,3,13,0,34
6194,0,6121,0,73,30,0
6262,0,6198,1,64,41,0
6309,0,6266,2,43,0,4
6368,0,6313,3,55,0,15
6400,0,6372,0,28,0,5
6429,0,6404,1,25,0,1
6461,0,6433,2,28,0,5
6577,0,6465,3,112,41,0
6681,0,6581,0,100,56,0
6698,0,6685,1,13,0,20
6775,0,6702,2,73,13,0
6867,0,6779,3,88,35,0
6941,0,6871,0,70,35,0
6955,0,6945,1,10,0,32
6969,0,6959,2,10,0,19
7085,0,6973,3,112,78,0
7198,0,7089,0,109,91,0
7236,0,7202,1,34,0,19
7286,0,7240,2,46,0,19
7321,0,7290,3,31,7,0
7404,0,7325,0,79,75,0
7526,0,7408,1,118,40,0
7594,0,7530,2,64,5,0
