,exp1,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max
ql_,63.4051724137931,31.884841279960543,7,115,63.4051724137931,31.884841279960543,7,115
veh_n_,61.58474576271186,34.96428611856625,7,118,61.58474576271186,34.96428611856625,7,118
delay_,61.78947368421053,30.68004271443373,7,118,61.78947368421053,30.68004271443373,7,118
throughput_,58.14754098360656,34.50372410877324,7,118,58.14754098360656,34.50372410877324,7,118
delay_prq_,61.1985294117647,32.139699658174266,7,118,61.1985294117647,32.139699658174266,7,118
delay_pwtl_,64.39473684210526,34.567778341797684,7,118,64.39473684210526,34.567778341797684,7,118
act_throughput_mqr_,56.721311475409834,31.560845680748155,7,118,56.721311475409834,31.560845680748155,7,118
veh_n_pwtl_,58.943548387096776,34.95300036421843,7,118,58.943548387096776,34.95300036421843,7,118
throughput_pwtl_,57.60655737704918,31.402625930376058,7,118,57.60655737704918,31.402625930376058,7,118
