,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,66.80188679245283,31.857545958553487,7,115,64.99130434782609,32.57070464259765,7,118,60.1,33.6919809425319,7,118,63.76315789473684,36.22308036323522,7,118,65.30555555555556,34.38986438742773,7,118,65.44444444444444,32.05612290306368,7,118,66.58333333333333,32.46799286601596,7,118,61.99130434782609,33.54036469797588,7,118,67.50467289719626,32.291237736602874,7,118,63.4051724137931,31.884841279960543,7,115,64.71531791907515,32.61078775141261,7.0,118.0
veh_n_,62.6578947368421,32.999015524968925,7,118,58.984,33.57946377023871,7,118,60.059322033898304,30.901080769106226,7,118,66.37391304347825,33.346259126199904,7,118,60.45217391304348,33.29671062154793,7,118,61.28947368421053,31.012907299857694,7,118,67.57692307692308,34.34821466444511,7,118,61.76271186440678,33.51276780956996,7,118,64.58928571428571,31.75115904004294,7,118,61.58474576271186,34.96428611856625,7,118,63.00515463917526,32.15149005865843,7.0,118.0
delay_,63.705357142857146,33.42589986602128,7,118,64.88073394495413,33.51443159867497,7,118,62.73684210526316,33.773858202817934,7,118,59.21875,32.414864263125494,7,118,62.18487394957983,35.65131665777757,7,118,65.80555555555556,33.86406535131865,7,118,63.07079646017699,34.28757501271918,7,118,63.945454545454545,33.994558756084054,7,118,63.81578947368421,34.428729973690636,7,118,61.78947368421053,30.68004271443373,7,118,63.31658767772512,32.90116243073755,7.0,118.0
throughput_,68.80582524271844,28.941136423758003,7,118,58.686440677966104,31.863678422422637,7,118,57.31147540983606,32.56273841897155,7,115,61.258620689655174,33.620418405087314,7,118,58.34426229508197,32.156839430804865,7,118,65.10526315789474,34.638555535359046,7,118,62.955357142857146,32.29268971269363,7,118,59.19512195121951,31.986846306963958,7,118,60.32258064516129,35.22714871082042,7,118,58.14754098360656,34.50372410877324,7,118,61.24977000919963,32.212832987228516,7.0,118.0
delay_prq_,63.63478260869565,33.90190452518535,7,118,60.58620689655172,35.079306166733545,7,118,58.8,35.245739953559635,7,118,67.73584905660377,33.54437058350724,7,118,59.33613445378151,31.88971390162558,7,118,54.72093023255814,32.09579819272154,7,118,63.94736842105263,31.227920938013984,7,118,56.48854961832061,33.07412802786021,7,118,64.35454545454546,32.77966094714589,7,118,61.1985294117647,32.139699658174266,7,118,61.11645683453237,32.446572699808094,7.0,118.0
delay_pwtl_,62.59130434782609,32.49936454228258,7,118,61.813559322033896,33.05627140998571,10,118,62.67256637168141,32.78241102815985,7,118,64.53571428571429,33.27822342674192,7,118,63.6578947368421,31.990825274183454,7,118,64.86486486486487,30.993690409643786,7,118,63.176991150442475,30.246083007466666,7,118,66.15454545454546,33.28062123505949,7,118,63.80909090909091,35.60628113193943,7,118,64.39473684210526,34.567778341797684,7,118,63.96555023923445,31.950216600405813,7.0,118.0
act_throughput_mqr_,57.00787401574803,31.064575870527317,7,118,62.92307692307692,32.31449814635728,7,118,57.578512396694215,30.85605074808821,7,115,60.425,33.78320961810527,7,118,59.855932203389834,32.8163174503769,7,118,60.26890756302521,31.50778689843426,7,115,59.66153846153846,34.44320206016601,7,118,57.83969465648855,34.4459033611776,7,118,64.56756756756756,30.72092021041913,7,118,56.721311475409834,31.560845680748155,7,118,59.72863436123348,31.71276815983013,7.0,118.0
veh_n_pwtl_,66.49532710280374,32.4407657099031,7,118,68.0673076923077,33.36711491468282,7,118,61.15,33.516996816992,7,118,66.19444444444444,35.65395950887413,7,118,58.0,35.96104449694802,7,118,60.59322033898305,33.30953953042302,7,118,63.81578947368421,32.625676893116676,7,118,59.563025210084035,33.51110078043257,7,118,64.7909090909091,31.144261978923872,7,118,58.943548387096776,34.95300036421843,7,118,62.87511825922422,33.08536816709314,7.0,118.0
throughput_pwtl_,64.3157894736842,30.93164481790658,10,118,60.92307692307692,32.560859157454956,7,118,59.19512195121951,33.555840061591425,7,118,62.78512396694215,32.79156563599098,7,118,63.862385321100916,31.454690485153716,7,118,59.08870967741935,34.12245096868262,7,118,60.869565217391305,33.244052822345836,7,118,57.78048780487805,33.47094080614736,7,118,65.95412844036697,33.1948192413339,7,118,57.60655737704918,31.402625930376058,7,118,60.927589367552706,32.187734565779834,7.0,118.0
