,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,24.287037037037038,27.057588610576076,0,102,26.59259259259259,26.891626406480867,0,93,23.51304347826087,27.8036237753634,0,102,26.364485981308412,27.592859523203725,0,96,25.086206896551722,27.883786457839378,0,111,25.17663551401869,27.3886939803165,0.0,111.0
veh_n_,22.780701754385966,26.2111098419964,0,111,25.298076923076923,28.31922048173386,0,100,23.449152542372882,28.786154511906755,0,114,24.339285714285715,29.522492134431026,0,111,24.228813559322035,29.144617604841965,0,114,23.933756805807622,28.421065558791295,0.0,114.0
delay_,24.666666666666668,25.754048769802836,0,82,22.938053097345133,26.04641570688234,0,102,24.245454545454546,24.741298670102914,0,88,24.728070175438596,27.847652889679203,0,105,22.666666666666668,25.571578064714032,0,90,23.74907063197026,25.81455584281579,0.0,105.0
throughput_,26.49122807017544,28.89935100904489,0,117,23.089285714285715,27.35273544679099,0,108,21.739837398373982,27.89201583812701,0,114,24.733870967741936,29.071011703742787,0,111,22.311475409836067,28.23867635767078,0,99,23.702276707530647,28.018239267477437,0.0,117.0
delay_prq_,19.627906976744185,25.605196545160105,0,108,25.36842105263158,27.014667650765624,0,99,21.34351145038168,27.13010561446068,0,111,24.009090909090908,27.277539052866377,0,111,27.88235294117647,31.908679609514685,0,117,23.801824212271974,27.958116158375077,0.0,117.0
delay_pwtl_,24.576576576576578,26.24034005792315,0,90,24.292035398230087,26.134843127220986,0,105,26.2,28.10622053972257,0,99,23.381818181818183,27.230912620925384,0,101,25.289473684210527,27.724856642131353,0,100,24.844569288389515,26.839443379494316,0.0,105.0
act_throughput_mqr_,22.19327731092437,25.612919578558415,0,99,25.630769230769232,29.132719148495088,0,117,23.908396946564885,30.668312481898564,0,108,24.72972972972973,26.55318708689683,0,83,20.401639344262296,23.30099839526109,0,93,23.445378151260503,27.234082392363934,0.0,117.0
veh_n_pwtl_,23.66949152542373,26.582577381662304,0,101,24.736842105263158,26.65115602320242,0,87,21.478991596638654,25.96374549887665,0,97,23.4,28.553571090466924,0,101,23.016129032258064,27.82727908575592,0,103,23.102292768959437,26.995486699713666,0.0,103.0
throughput_pwtl_,22.572580645161292,25.986604863092765,0,91,22.330434782608695,25.29847153663651,0,91,20.983739837398375,26.54287707849117,0,98,24.825688073394495,27.670295624348466,0,99,20.450819672131146,26.033069388797085,0,95,21.82249560632689,26.11142403025436,0.0,99.0
