step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
1704.00,1_100,0.00,204.00,617.75,158.00,1,172.90
1704.00,1_103,0.00,159.00,596.93,113.00,1,125.75
1705.00,1_109,0.00,70.00,615.10,24.00,1,36.10
1706.00,1_108,0.00,86.00,596.93,42.00,1,55.82
1707.00,1_101,0.00,192.00,617.75,145.00,1,157.56
1708.00,1_111,0.00,43.00,615.10,0.00,0,5.88
1736.00,1_113,0.00,41.00,617.75,0.00,0,8.21
1768.00,1_105,0.00,193.00,615.10,149.00,1,163.37
1771.00,1_106,0.00,181.00,596.93,135.00,1,148.91
1772.00,1_114,0.00,62.00,596.93,17.00,1,33.37
1853.00,1_121,0.00,38.00,596.93,0.00,0,8.68
1867.00,1_107,0.00,262.00,615.10,215.00,1,230.75
1868.00,1_119,0.00,83.00,596.93,39.00,1,52.82
1960.00,1_128,0.00,40.00,617.75,0.00,0,10.58
1972.00,1_129,0.00,37.00,615.10,0.00,0,4.95
1979.00,1_112,0.00,299.00,615.10,256.00,1,269.73
1981.00,1_117,0.00,226.00,617.75,180.00,1,192.41
1981.00,1_122,0.00,151.00,596.93,106.00,1,119.72
1984.00,1_123,0.00,139.00,596.93,92.00,1,107.81
2033.00,1_133,0.00,38.00,615.10,0.00,0,7.26
2036.00,1_115,0.00,311.00,596.93,266.00,1,276.72
2036.00,1_116,0.00,296.00,617.75,251.00,1,267.39
2038.00,1_118,0.00,268.00,596.93,222.00,1,235.43
2040.00,1_120,0.00,240.00,617.75,192.00,1,204.48
2041.00,1_124,0.00,181.00,617.75,133.00,1,149.80
2043.00,1_126,0.00,153.00,617.75,105.00,1,120.63
2049.00,1_127,0.00,144.00,617.75,90.00,1,103.81
2050.00,1_130,0.00,100.00,617.75,48.00,1,67.84
2148.00,1_125,0.00,273.00,617.75,229.00,1,244.13
2150.00,1_140,0.00,50.00,617.75,5.00,1,19.97
2166.00,1_131,0.00,201.00,617.75,157.00,1,170.03
2166.00,1_132,0.00,186.00,596.93,141.00,1,153.28
2166.00,1_138,0.00,96.00,615.10,50.00,1,63.61
2168.00,1_135,0.00,143.00,596.93,98.00,1,111.53
2169.00,1_137,0.00,114.00,617.75,66.00,1,80.75
2174.00,1_142,0.00,44.00,617.75,0.00,0,7.96
2205.00,1_134,0.00,195.00,617.75,153.00,1,168.12
2206.00,1_143,0.00,61.00,615.10,18.00,1,32.14
2208.00,1_136,0.00,168.00,617.75,123.00,1,138.03
2208.00,1_139,0.00,123.00,615.10,77.00,1,89.21
2271.00,1_141,0.00,156.00,615.10,112.00,1,128.04
2273.00,1_148,0.00,53.00,615.10,8.00,1,19.41
2277.00,1_144,0.00,117.00,615.10,63.00,1,73.74
2363.00,1_155,0.00,38.00,617.75,0.00,0,7.47
2371.00,1_152,0.00,91.00,596.93,49.00,1,61.34
2374.00,1_151,0.00,109.00,617.75,63.00,1,76.30
2375.00,1_153,0.00,80.00,615.10,32.00,1,45.33
2379.00,1_156,0.00,39.00,617.75,0.00,0,10.88
2411.00,1_158,0.00,41.00,615.10,0.00,0,5.68
2415.00,1_145,0.00,240.00,596.93,199.00,1,211.83
2420.00,1_146,0.00,230.00,617.75,180.00,1,192.14
2421.00,1_147,0.00,216.00,617.75,170.00,1,183.12
2423.00,1_157,0.00,68.00,617.75,21.00,1,37.12
2425.00,1_159,0.00,40.00,617.75,0.00,0,10.59
2448.00,1_154,0.00,138.00,615.10,94.00,1,108.21
2450.00,1_149,0.00,215.00,615.10,169.00,1,184.40
2450.00,1_150,0.00,200.00,615.10,154.00,1,166.41
2453.00,1_160,0.00,53.00,615.10,4.00,1,16.24
2467.00,1_162,0.00,37.00,615.10,0.00,0,4.80
2480.00,1_163,0.00,35.00,615.10,0.00,0,6.58
2515.00,1_165,0.00,40.00,615.10,0.00,0,4.84
2539.00,1_161,0.00,124.00,596.93,81.00,1,94.26
2542.00,1_166,0.00,52.00,617.75,7.00,1,18.88
2614.00,1_164,0.00,154.00,596.93,110.00,1,123.57
2615.00,1_167,0.00,110.00,615.10,66.00,1,78.60
2617.00,1_168,0.00,97.00,596.93,52.00,1,64.81
2619.00,1_170,0.00,69.00,596.93,23.00,1,38.92
2624.00,1_172,0.00,44.00,617.75,0.00,0,7.07
2651.00,1_174,0.00,41.00,596.93,0.00,0,8.09
2709.00,1_178,0.00,39.00,596.93,0.00,0,10.06
2762.00,1_173,0.00,167.00,617.75,125.00,1,138.40
2764.00,1_169,0.00,229.00,615.10,183.00,1,195.01
2767.00,1_171,0.00,202.00,596.93,154.00,1,166.49
2767.00,1_181,0.00,52.00,617.75,4.00,1,19.70
2800.00,1_179,0.00,115.00,615.10,71.00,1,85.05
2803.00,1_175,0.00,178.00,617.75,129.00,1,141.61
2804.00,1_176,0.00,164.00,617.75,117.00,1,133.84
2818.00,1_185,0.00,43.00,617.75,0.00,0,6.57
2879.00,1_180,0.00,179.00,615.10,136.00,1,150.13
2881.00,1_177,0.00,226.00,615.10,181.00,1,194.39
2882.00,1_182,0.00,152.00,617.75,105.00,1,119.75
2882.00,1_183,0.00,137.00,615.10,92.00,1,107.75
2919.00,1_192,0.00,39.00,596.93,0.00,0,9.63
2934.00,1_190,0.00,84.00,596.93,38.00,1,49.22
2937.00,1_187,0.00,132.00,617.75,82.00,1,94.44
2938.00,1_189,0.00,103.00,617.75,56.00,1,68.81
3000.00,1_197,0.00,45.00,596.93,0.00,0,8.45
3056.00,1_184,0.00,296.00,596.93,250.00,1,262.12
3058.00,1_186,0.00,268.00,596.93,222.00,1,237.64
3061.00,1_188,0.00,241.00,596.93,194.00,1,208.03
3065.00,1_191,0.00,200.00,596.93,148.00,1,165.56
3066.00,1_196,0.00,126.00,596.93,77.00,1,94.61
3072.00,1_199,0.00,87.00,596.93,32.00,1,48.65
3084.00,1_203,0.00,39.00,596.93,0.00,0,9.81
3116.00,1_200,0.00,116.00,615.10,69.00,1,82.56
3117.00,1_198,0.00,147.00,615.10,100.00,1,116.47
3117.00,1_204,0.00,57.00,596.93,12.00,1,26.54
3158.00,1_208,0.00,38.00,615.10,0.00,0,5.11
3170.00,1_193,0.00,275.00,596.93,232.00,1,245.11
3172.00,1_194,0.00,262.00,617.75,216.00,1,229.26
3173.00,1_205,0.00,98.00,596.93,53.00,1,66.78
3174.00,1_195,0.00,249.00,615.10,199.00,1,211.10
3175.00,1_201,0.00,160.00,615.10,111.00,1,123.81
3177.00,1_209,0.00,42.00,596.93,0.00,0,9.36
3226.00,1_211,0.00,61.00,596.93,18.00,1,30.08
3227.00,1_202,0.00,197.00,617.75,151.00,1,164.93
3264.00,1_215,0.00,39.00,596.93,0.00,0,9.21
3289.00,1_206,0.00,199.00,615.10,154.00,1,167.05
3290.00,1_207,0.00,185.00,615.10,140.00,1,151.64
3294.00,1_217,0.00,39.00,596.93,0.00,0,9.63
3349.00,1_221,0.00,34.00,615.10,0.00,0,5.70
3392.00,1_210,0.00,242.00,586.83,199.00,1,213.19
3393.00,1_212,0.00,213.00,615.10,167.00,1,180.87
3396.00,1_222,0.00,66.00,615.10,15.00,1,27.53
3398.00,1_214,0.00,188.00,596.93,137.00,1,149.60
3400.00,1_216,0.00,160.00,596.93,109.00,1,126.42
3401.00,1_220,0.00,101.00,596.93,52.00,1,69.31
3426.00,1_226,0.00,36.00,596.93,0.00,0,10.50
3444.00,1_227,0.00,39.00,596.93,0.00,0,9.77
3453.00,1_218,0.00,183.00,596.93,141.00,1,153.06
3455.00,1_213,0.00,260.00,617.75,216.00,1,229.81
3458.00,1_219,0.00,173.00,596.93,125.00,1,138.02
3460.00,1_223,0.00,115.00,596.93,70.00,1,84.63
3489.00,1_230,0.00,39.00,596.93,0.00,0,8.81
3553.00,1_224,0.00,193.00,617.75,147.00,1,160.59
3567.00,1_228,0.00,147.00,596.93,104.00,1,117.61
3568.00,1_225,0.00,193.00,615.10,148.00,1,159.40
3571.00,1_229,0.00,136.00,596.93,89.00,1,104.31
3573.00,1_231,0.00,108.00,596.93,61.00,1,79.41
3574.00,1_233,0.00,79.00,596.93,35.00,1,51.70
3579.00,1_236,0.00,39.00,596.93,0.00,0,8.59
3621.00,1_232,0.00,141.00,617.75,94.00,1,107.14
3621.00,1_234,0.00,111.00,615.10,63.00,1,76.26
3642.00,2_0,0.00,42.00,596.93,0.00,0,8.69
3677.00,2_6,0.00,41.00,586.83,0.00,0,8.73
3692.00,2_9,0.00,38.00,596.93,0.00,0,9.64
3700.00,2_10,0.00,40.00,615.10,0.00,0,5.54
3712.00,2_11,0.00,46.00,617.75,0.00,0,8.22
3712.00,2_12,0.00,40.00,596.93,0.00,0,8.14
3730.00,1_235,0.00,205.00,596.93,160.00,1,171.62
