,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_0.001_0.6_0.6,262.2104303939436,177.3249091331663,32.0,1151.0,274.1466423664657,180.9784287522096,32.0,1332.0,261.9902565540446,163.22252419375928,32.0,1168.0,261.4660030842563,151.63435599753424,32.0,1086.0,256.73902986120845,179.32311202800344,33.0,1372.0,247.8229079662422,117.62580153252951,32.0,1123.0
rf_avg_veh_number_0.001_0.7_0.6,261.85244637599885,156.57255253099856,31.0,1274.0,269.08229356511987,179.25096153876845,32.0,1071.0,271.0279685966634,168.63116167670591,31.0,1478.0,261.540445815225,161.8909191166928,31.0,976.0,261.11615028739664,174.0206909508255,32.0,1184.0,248.34700591809374,113.91225112268783,32.0,1093.0
rf_avg_veh_number_0.001_0.7999999999999999_0.6,265.9919388756484,176.81871679800355,32.0,1463.0,270.67825599327074,181.3026523487349,32.0,1082.0,272.07815785784385,184.50700805663485,32.0,1288.0,262.65456329735036,163.88071151048425,32.0,1131.0,257.08313472592175,174.6418090615471,32.0,1543.0,247.95941080696508,117.07723031146236,32.0,1075.0
rf_avg_veh_number_0.001_0.8999999999999999_0.6,270.22550119164447,171.91136573830178,31.0,1333.0,255.61117341931865,164.9573593435871,32.0,1119.0,265.2731669704192,170.05279658252954,33.0,1146.0,267.05712883779614,165.44292110273912,32.0,1090.0,262.2813682882378,173.64162193955568,32.0,1294.0,246.57873451359688,115.2545991355363,32.0,1061.0
rf_avg_veh_number_0.001_0.6_0.7,271.1505677835413,195.54480941906803,31.0,1851.0,267.4818449460255,172.4147323860909,32.0,1310.0,259.36106827421844,161.44901891584925,32.0,1089.0,268.3804850693958,169.1371651435917,33.0,1013.0,257.4442730968737,171.35727823224323,32.0,1550.0,249.4550158525567,117.58147181657903,32.0,1082.0
rf_avg_veh_number_0.001_0.7_0.7,274.3839198093369,191.02617718396633,31.0,1479.0,265.05096032524887,190.14877123366185,32.0,1354.0,257.9610262161783,155.8910330445812,31.0,915.0,267.081452404318,170.59275914996894,32.0,1087.0,267.4628487312491,169.328830514212,32.0,1205.0,251.77924571251762,120.46872605133684,32.0,1009.0
rf_avg_veh_number_0.001_0.7999999999999999_0.7,267.121758026076,161.18235662120796,32.0,1077.0,267.18898079349503,191.49749174622377,32.0,1543.0,272.0855180148605,176.1337341357339,32.0,1082.0,267.5198373755783,179.03883795140462,32.0,1095.0,263.55614748352724,163.28137106145138,32.0,1007.0,252.0433736263671,121.90919065429445,32.0,1091.5
rf_avg_veh_number_0.001_0.8999999999999999_0.7,273.92030001401935,166.9868181413009,32.0,1061.0,268.180148605075,171.54645960666497,31.0,1297.0,268.7269732230478,155.2887570832484,33.0,1014.0,261.6013598766298,163.6650722248321,32.0,974.0,273.07360157016683,172.23536882005345,32.0,1139.0,251.5100479826733,111.11531236050836,31.0,859.0
rf_avg_veh_number_0.001_0.6_0.7999999999999999,262.06161502873965,187.4910829687824,32.0,1457.0,264.96439085938596,166.7587644405525,32.0,1220.0,272.61131361278564,176.7369091820559,31.0,1322.0,267.13802046824617,180.396470953289,32.0,1137.0,266.7890088321884,181.23878877621283,32.0,1375.0,249.1882710898358,120.5608070243561,32.0,1445.0
rf_avg_veh_number_0.001_0.7_0.7999999999999999,259.35658208327493,153.75979214841627,32.0,885.0,258.40957521379505,154.4428971235845,32.0,1046.0,273.9477779335483,200.66090941546642,32.0,1899.0,264.193957661573,165.02979546359842,32.0,1338.0,259.92913220243935,167.6944259491139,32.0,1189.0,246.79973185283288,112.48438468314215,33.0,1144.0
