,exp1,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max
ql_,45.60344827586207,31.106235726128535,0,109,45.60344827586207,31.106235726128535,0,109
veh_n_,47.96363636363636,33.98945526519002,0,105,47.96363636363636,33.98945526519002,0,105
delay_,45.758620689655174,30.73975493937994,0,106,45.758620689655174,30.73975493937994,0,106
throughput_,46.94642857142857,31.362696406220014,0,108,46.94642857142857,31.362696406220014,0,108
delay_prq_,46.473214285714285,34.35846010178979,0,109,46.473214285714285,34.35846010178979,0,109
delay_pwtl_,45.956896551724135,33.69773369785889,0,109,45.956896551724135,33.69773369785889,0,109
act_throughput_mqr_,52.49,34.770966351398705,0,111,52.49,34.770966351398705,0,111
veh_n_pwtl_,46.771929824561404,35.028189681298315,0,114,46.771929824561404,35.028189681298315,0,114
throughput_pwtl_,44.983050847457626,34.26592412915115,0,108,44.983050847457626,34.26592412915115,0,108
