step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
537.00,108,-0.56,152.00,617.75,104.00,1,120.47
537.00,122,-0.54,102.00,615.10,53.00,2,70.74
538.00,116,-0.12,124.00,617.75,76.00,1,95.93
539.00,112,-0.84,140.00,596.93,92.00,1,110.33
540.00,125,-0.25,94.00,617.75,47.00,1,65.50
541.00,114,-0.98,135.00,596.93,87.00,1,105.96
542.00,127,-0.39,89.00,615.10,36.00,1,49.76
543.00,134,-0.38,65.00,615.10,10.00,1,39.01
544.00,143,-0.51,34.00,615.10,0.00,0,5.68
545.00,132,-0.24,74.00,617.75,21.00,1,38.99
577.00,150,-0.50,42.00,617.75,0.00,0,7.49
590.00,153,-0.21,44.00,617.75,0.00,0,7.49
604.00,158,-0.06,40.00,615.10,0.00,0,5.14
619.00,163,-0.91,38.00,617.75,0.00,0,8.85
628.00,101,-0.57,268.00,596.93,223.00,1,234.99
630.00,90,-0.30,309.00,617.75,264.00,1,276.45
630.00,105,-0.85,256.00,596.93,213.00,1,225.84
630.00,110,-0.70,238.00,615.10,191.00,1,203.78
632.00,98,-0.86,283.00,617.75,236.00,1,252.84
633.00,115,-0.55,223.00,615.10,173.00,1,188.16
634.00,107,-0.99,253.00,617.75,207.00,1,220.97
634.00,109,-0.13,245.00,596.93,197.00,1,211.88
634.00,133,-0.81,160.00,615.10,110.00,1,129.41
635.00,154,-0.78,86.00,605.00,35.00,1,56.71
636.00,124,-0.68,194.00,617.75,147.00,1,162.40
637.00,141,-0.37,134.00,617.75,88.00,1,105.50
637.00,156,-0.92,81.00,615.10,31.00,1,54.12
638.00,111,-0.27,242.00,596.93,192.00,1,205.00
640.00,117,-0.69,223.00,596.93,173.00,1,190.49
641.00,135,-0.95,160.00,596.93,110.00,1,128.82
643.00,142,-0.94,137.00,617.75,84.00,1,101.39
644.00,138,-0.66,152.00,596.93,101.00,1,119.58
645.00,151,-0.07,106.00,617.75,52.00,1,72.87
647.00,139,-0.23,151.00,596.93,98.00,1,117.63
647.00,169,-0.33,44.00,615.10,0.00,0,9.58
648.00,164,-0.48,63.00,596.93,10.00,1,32.64
649.00,160,-0.20,78.00,617.75,20.00,1,40.41
650.00,166,-0.62,58.00,617.75,4.00,1,25.33
652.00,170,-0.90,46.00,617.75,0.00,0,15.13
658.00,172,-0.04,44.00,596.93,0.00,0,8.86
660.00,173,-0.61,43.00,596.93,0.00,0,14.25
668.00,177,-0.89,37.00,615.10,0.00,0,6.01
675.00,179,-0.03,36.00,615.10,0.00,0,5.78
680.00,180,-0.60,38.00,596.93,0.00,0,8.85
686.00,121,-0.97,255.00,596.93,212.00,1,226.67
688.00,113,-0.41,285.00,617.75,238.00,1,252.34
689.00,129,-0.53,229.00,615.10,183.00,1,196.97
689.00,140,-0.80,190.00,596.93,146.00,1,160.92
690.00,119,-0.83,266.00,617.75,221.00,1,234.65
690.00,137,-0.09,201.00,615.10,152.00,1,169.74
692.00,130,-0.10,228.00,617.75,183.00,1,195.34
693.00,147,-0.79,169.00,596.93,122.00,1,136.84
693.00,148,-0.36,165.00,615.10,114.00,2,131.69
694.00,136,-0.52,209.00,617.75,163.00,1,179.61
694.00,155,-0.35,141.00,605.00,91.00,2,112.75
695.00,152,-0.64,153.00,596.93,107.00,1,122.47
696.00,162,-0.34,118.00,615.10,68.00,2,85.69
698.00,183,-0.31,45.00,615.10,0.00,0,14.98
700.00,171,-0.47,90.00,596.93,38.00,1,54.02
701.00,167,-0.19,105.00,617.75,54.00,1,72.66
701.00,176,-0.32,73.00,596.93,24.00,1,44.19
704.00,144,-0.08,190.00,617.75,131.00,1,145.32
708.00,187,-0.59,41.00,615.10,0.00,0,5.47
710.00,188,-0.16,39.00,615.10,0.00,0,5.81
719.00,145,-0.65,202.00,617.75,159.00,1,172.93
720.00,168,-0.76,121.00,596.93,76.00,1,88.98
721.00,174,-0.18,100.00,615.10,52.00,1,66.17
723.00,184,-0.88,67.00,615.10,15.00,1,32.61
726.00,146,-0.22,205.00,617.75,154.00,1,167.33
727.00,149,-0.93,196.00,617.75,147.00,1,164.34
729.00,157,-0.49,169.00,617.75,120.00,1,137.91
731.00,159,-0.63,164.00,617.75,114.00,1,134.70
733.00,161,-0.77,159.00,617.75,109.00,1,128.09
738.00,165,-0.05,149.00,607.65,94.00,1,113.07
740.00,175,-0.75,116.00,617.75,59.00,1,79.83
742.00,185,0.55,81.00,607.65,24.00,1,45.46
747.00,195,-0.15,51.00,617.75,0.00,0,11.74
756.00,199,-0.43,46.00,596.93,0.00,0,7.94
781.00,208,-0.56,39.00,615.10,0.00,0,6.04
797.00,212,-0.84,41.00,596.93,0.00,0,9.66
813.00,216,-0.12,42.00,617.75,0.00,0,7.78
817.00,218,-0.26,39.00,596.93,0.00,0,9.23
826.00,178,-0.46,191.00,617.75,148.00,1,160.41
827.00,181,-0.17,181.00,615.10,135.00,1,150.17
827.00,182,-0.74,178.00,615.10,132.00,1,146.30
828.00,186,-0.02,164.00,596.93,119.00,1,134.38
830.00,190,-0.30,152.00,615.10,103.00,1,116.83
831.00,204,-0.28,103.00,615.10,51.00,2,72.86
832.00,209,-0.13,86.00,615.10,39.00,1,53.24
833.00,217,-0.69,59.00,615.10,8.00,1,28.64
834.00,214,-0.98,71.00,615.10,19.00,1,32.23
834.00,219,-0.83,53.00,615.10,4.00,1,17.64
845.00,227,-0.39,35.00,615.10,0.00,0,5.91
884.00,238,-0.66,35.00,615.10,0.00,0,5.87
899.00,189,-0.73,225.00,596.93,178.00,1,191.60
899.00,200,0.00,185.00,615.10,140.00,1,151.22
900.00,192,-0.44,215.00,596.93,171.00,1,186.28
901.00,197,-0.29,198.00,617.75,148.00,1,159.95
901.00,225,-0.25,98.00,615.10,49.00,1,64.52
902.00,198,-0.86,196.00,617.75,147.00,1,165.12
902.00,233,-0.81,71.00,615.10,23.00,1,43.29
903.00,205,-0.85,172.00,596.93,124.00,1,139.77
904.00,206,-0.42,169.00,617.75,121.00,1,136.00
908.00,196,-0.72,209.00,615.10,163.00,1,177.84
910.00,191,-0.87,229.00,615.10,182.00,1,194.34
910.00,193,-0.01,221.00,596.93,177.00,1,191.45
910.00,203,-0.71,186.00,615.10,140.00,1,156.66
911.00,220,-0.40,126.00,615.10,78.00,1,93.74
912.00,201,-0.57,195.00,617.75,146.00,1,156.98
912.00,221,-0.97,124.00,615.10,74.00,1,96.40
914.00,194,-0.58,222.00,596.93,174.00,1,189.61
914.00,207,-0.99,176.00,617.75,128.00,1,142.06
