,exp1,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max
ql_,59.37068965517241,31.904894042577006,10,118,59.37068965517241,31.904894042577006,10,118
veh_n_,62.663636363636364,34.456801108327646,7,118,62.663636363636364,34.456801108327646,7,118
delay_,59.706896551724135,31.76189054754806,7,115,59.706896551724135,31.76189054754806,7,115
throughput_,61.267857142857146,32.42759978473936,7,118,61.267857142857146,32.42759978473936,7,118
delay_prq_,60.625,35.09244547947221,7,118,60.625,35.09244547947221,7,118
delay_pwtl_,59.68103448275862,33.83093494008907,7,118,59.68103448275862,33.83093494008907,7,118
act_throughput_mqr_,68.47,33.827087048426414,10,118,68.47,33.827087048426414,10,118
veh_n_pwtl_,60.78947368421053,34.719985747981085,7,118,60.78947368421053,34.719985747981085,7,118
throughput_pwtl_,58.78813559322034,34.51070729298082,7,115,58.78813559322034,34.51070729298082,7,115
