step,tl_id,dynamic_weight,dynamic_weight_activation,reward
56,0,0.051867219917012444,0.0005846084904161058,0.9812197766549857
115,0,0.07780082987551867,0.001271894436456633,0.962636374505429
183,0,0.07780082987551867,0.001271894436456633,0.9442207209362289
248,0,0.15560165975103735,0.012971423997407075,0.9377265902381092
274,0,0.07780082987551867,0.001271894436456633,0.9893802881925234
327,0,0.233402489626556,0.11942092318792669,0.8720479024752754
368,0,0.08309726095690743,0.0014906039772113445,0.9901463568456189
460,0,0.20746887966804978,0.05863861835961951,0.8911736175247058
474,0,0.14869670460179318,0.010570108326447402,0.9659698247152166
515,0,0.18153526970954356,0.02781577780906747,0.900570008838606
541,0,0.10373443983402489,0.0027649421219491234,0.9786588890564405
579,0,0.07780082987551867,0.001271894436456633,0.949630522814783
626,0,0.10373443983402489,0.0027649421219491234,0.9492312589141441
709,0,0.1296680497925311,0.0060001146959929854,0.9200015221224177
753,0,0.07780082987551867,0.001271894436456633,0.9696184627868938
809,0,0.07780082987551867,0.001271894436456633,0.962615963711815
880,0,0.10373443983402489,0.0027649421219491234,0.9397759176310541
927,0,0.1296680497925311,0.0060001146959929854,0.942442799435958
950,0,0.07780082987551867,0.001271894436456633,0.9808133562417298
982,0,0.07780082987551867,0.001271894436456633,0.971640072411149
1074,0,0.28526970954356845,0.3912862550867249,0.8760702061242533
1106,0,0.1296680497925311,0.0060001146959929854,0.9573932818558061
1138,0,0.19087975003748853,0.03648778920443677,0.910453436740848
1161,0,0.10373443983402489,0.0027649421219491234,0.9487397136480198
1178,0,0.1296680497925311,0.0060001146959929854,0.9688028294783636
1246,0,0.15560165975103735,0.012971423997407075,0.9146483900670257
1317,0,0.15560165975103735,0.012971423997407075,0.9058748760023558
1403,0,0.2593360995850622,0.22795105517058967,0.8934776412845387
1477,0,0.2593360995850622,0.22795105517058967,0.8454699119100889
1503,0,0.14505623348721247,0.009486883054549089,0.9859184342859296
1541,0,0.23585660416242582,0.12738261885977278,0.8687572869277033
1618,0,0.10373443983402489,0.0027649421219491234,0.9533810773761504
1668,0,0.1296680497925311,0.0060001146959929854,0.9426502327629636
1721,0,0.18153526970954356,0.02781577780906747,0.9226083113560275
1777,0,0.233402489626556,0.11942092318792669,0.8732432590687009
1803,0,0.10373443983402489,0.0027649421219491234,0.9893333401045391
1895,0,0.41493775933609955,0.9691754073403583,0.8869955746083025
