step,veh_id,ttime
40,1,40
41,4,38
46,3,44
50,14,38
55,21,37
60,22,39
63,30,37
66,31,37
72,38,39
77,40,41
78,42,39
80,46,38
85,52,37
88,58,37
89,47,44
96,59,42
98,61,41
104,66,44
106,69,43
106,72,40
109,73,40
110,80,38
114,84,39
117,87,39
122,90,41
126,95,39
128,92,44
132,0,132
133,2,130
134,11,121
136,8,129
137,15,121
137,18,115
138,10,128
138,33,104
139,20,114
142,13,131
144,19,128
145,28,119
146,23,126
148,9,140
148,25,125
148,35,117
148,44,109
149,53,102
150,54,100
151,68,89
152,76,84
152,98,62
154,85,79
154,117,50
155,67,96
156,88,78
157,71,92
158,89,77
160,94,76
160,97,73
162,102,69
163,106,67
163,137,39
164,126,52
166,132,47
167,139,40
168,110,69
168,136,47
169,122,61
171,131,55
172,141,42
173,145,34
178,142,45
184,152,42
188,144,52
189,153,44
189,162,38
190,161,42
195,164,41
198,165,41
202,166,42
204,167,40
205,168,38
212,182,36
213,169,43
215,176,42
216,192,35
220,187,42
224,193,39
224,198,35
229,203,34
232,201,44
236,195,48
237,202,45
238,211,40
242,220,41
244,215,43
244,219,40
251,222,44
251,223,41
254,229,41
259,12,244
260,6,251
262,17,244
263,5,257
264,7,252
264,29,237
264,32,234
265,51,220
266,27,242
266,62,209
267,37,234
267,70,201
269,55,221
269,74,200
269,82,185
270,75,198
271,57,220
272,104,176
273,77,198
274,60,220
274,170,123
275,78,198
275,196,101
276,99,186
278,64,218
279,199,102
280,205,98
281,103,188
282,65,219
282,210,95
283,81,202
283,151,148
283,225,83
289,105,193
289,107,190
289,114,184
290,96,200
291,113,189
292,100,199
292,116,180
292,119,177
294,115,186
294,140,163
296,121,178
296,124,175
298,129,174
298,158,155
299,138,172
299,188,124
300,143,166
300,157,160
301,200,120
302,159,156
302,207,115
304,149,167
304,221,107
306,173,151
306,235,97
307,252,82
308,171,156
309,177,152
309,264,73
311,179,151
311,184,142
312,204,128
312,267,70
314,181,151
314,227,112
314,270,66
315,183,149
315,281,62
317,285,59
318,186,146
319,251,96
319,301,49
321,307,48
322,191,144
322,265,83
323,259,93
323,319,40
324,218,130
324,268,79
325,228,121
325,320,39
327,278,76
328,239,116
329,283,73
331,300,64
333,312,56
333,314,53
335,324,40
337,260,104
339,340,36
340,321,51
343,323,51
343,336,42
345,327,47
350,346,35
352,341,46
353,343,44
355,344,43
356,348,35
363,352,39
365,347,47
367,353,40
371,358,35
372,354,42
373,356,40
385,359,46
386,376,35
387,361,45
390,363,45
391,370,43
395,386,41
397,392,37
401,387,44
405,36,365
406,16,387
407,34,370
409,24,381
409,39,366
409,45,357
410,26,379
410,43,361
412,41,366
412,56,348
414,48,359
414,83,341
415,49,357
415,120,307
417,79,347
417,128,300
418,50,357
418,86,342
419,130,299
420,63,353
420,156,280
421,101,332
422,93,340
422,154,285
423,194,251
424,108,328
425,111,323
427,109,328
427,125,316
427,197,252
428,208,243
429,112,324
429,224,225
431,148,298
431,226,224
432,127,318
432,134,306
433,133,310
433,217,232
434,236,222
435,174,281
436,147,306
436,178,278
438,180,278
440,209,252
441,160,298
441,262,205
442,255,212
443,212,252
443,216,245
444,231,235
444,271,203
445,302,177
446,213,252
446,248,224
447,318,164
449,322,163
450,253,225
450,364,127
451,214,255
451,261,218
451,351,139
452,403,92
453,238,237
453,423,76
454,242,236
454,409,89
455,272,211
455,430,72
456,247,236
458,440,65
459,287,204
459,442,63
460,254,232
461,297,197
461,452,57
463,274,216
465,279,217
466,241,241
466,244,235
468,230,252
468,249,231
469,243,241
470,233,251
471,245,237
472,250,232
473,258,223
475,237,253
475,256,232
475,286,210
476,257,230
477,266,224
477,305,192
478,273,222
478,309,185
479,280,217
480,277,221
480,308,190
481,288,213
481,334,171
483,294,207
483,339,168
484,290,213
485,355,165
486,293,213
486,303,204
486,365,162
487,299,208
489,313,193
489,378,153
490,306,202
490,316,191
491,391,139
492,420,119
494,325,192
494,333,186
494,435,107
494,447,97
495,437,103
497,330,192
497,335,184
498,368,171
498,462,85
499,350,181
500,388,155
501,369,171
502,469,83
504,372,171
504,389,157
504,473,82
505,383,165
505,398,150
505,488,71
507,501,62
508,390,159
509,412,143
509,516,50
510,521,45
511,414,143
511,424,134
513,427,133
513,449,113
517,461,107
518,436,128
519,456,114
519,465,103
521,457,114
521,483,91
523,476,98
523,493,85
525,482,97
525,519,63
526,538,41
528,505,79
529,541,38
530,524,61
531,525,59
534,528,55
535,530,53
537,522,69
538,526,63
538,539,50
539,507,88
539,554,42
540,527,63
542,556,42
543,551,49
545,560,40
547,559,45
552,561,44
552,567,39
553,565,42
558,583,36
559,582,40
563,568,47
564,584,39
564,586,36
571,592,37
575,589,44
577,603,40
582,606,42
584,155,446
586,163,441
587,263,353
589,91,502
590,118,485
590,276,344
590,289,333
592,123,483
593,172,439
593,292,331
595,135,475
595,284,343
596,190,426
596,295,331
597,296,329
599,146,470
599,234,391
599,315,318
600,331,306
601,150,468
601,240,388
602,246,384
602,342,298
603,175,446
605,310,330
605,345,298
606,185,442
607,311,330
607,357,290
608,189,440
608,366,282
609,206,424
609,317,325
610,362,287
611,232,405
611,337,312
612,371,280
613,269,374
617,393,254
617,410,242
618,399,252
619,426,232
620,400,251
620,411,242
621,433,225
622,401,250
622,432,230
623,460,214
625,441,226
626,492,188
627,494,186
629,413,248
629,429,239
629,444,227
629,500,182
630,417,246
630,463,218
631,515,173
632,520,170
633,472,213
634,534,159
635,448,230
635,474,212
636,543,153
637,477,211
638,548,151
639,489,204
639,558,141
640,495,196
641,523,175
641,585,121
642,502,192
642,590,116
643,531,171
644,508,191
644,600,107
645,512,190
