step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
232.00,157,-0.73,93.00,596.93,39.00,1,63.04
233.00,159,3.49,88.00,596.93,36.00,1,59.93
233.00,188,7.68,58.00,615.10,3.00,1,24.71
234.00,207,1.77,48.00,615.10,0.00,0,15.27
236.00,200,3.00,55.00,615.10,4.00,1,21.09
237.00,138,5.18,109.00,617.75,53.00,1,76.13
238.00,143,6.73,104.00,607.65,46.00,1,75.22
239.00,171,-0.19,87.00,596.93,27.00,1,51.31
239.00,221,0.31,42.00,615.10,0.00,0,14.04
240.00,177,-0.53,83.00,596.93,25.00,1,51.85
241.00,149,4.39,104.00,617.75,45.00,1,72.21
242.00,179,0.69,82.00,596.93,24.00,1,52.05
243.00,173,1.03,88.00,617.75,29.00,1,58.52
244.00,181,1.91,81.00,596.93,23.00,1,49.64
246.00,183,3.13,80.00,596.93,21.00,1,50.97
248.00,184,5.24,79.00,617.75,15.00,1,43.23
248.00,186,6.46,76.00,596.93,16.00,1,46.79
249.00,204,2.44,65.00,617.75,1.00,1,33.95
251.00,227,-0.03,49.00,617.75,0.00,0,18.98
252.00,235,-0.15,43.00,615.10,0.00,0,9.83
253.00,191,8.01,75.00,596.93,11.00,1,41.26
255.00,218,-0.02,61.00,596.93,0.00,0,30.52
262.00,48,12.28,207.00,615.10,160.00,1,170.87
263.00,56,14.16,199.00,615.10,151.00,1,163.69
264.00,50,16.50,203.00,617.75,154.00,1,164.62
265.00,49,14.39,207.00,596.93,158.00,1,169.77
265.00,83,-0.87,192.00,615.10,142.00,2,158.72
266.00,63,10.93,199.00,617.75,150.00,1,165.15
266.00,79,-0.31,196.00,596.93,150.00,1,166.92
267.00,120,1.20,159.00,615.10,107.00,1,124.47
268.00,86,-0.54,192.00,596.93,145.00,1,159.73
268.00,93,-0.77,186.00,617.75,138.00,1,150.02
268.00,128,3.08,151.00,615.10,101.00,1,122.22
270.00,108,-0.12,174.00,617.75,125.00,1,142.38
270.00,130,4.30,150.00,615.10,98.00,2,118.36
271.00,154,-0.06,134.00,615.10,82.00,1,103.81
