,exp1,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max
ql_,14.385185185185184,23.46161844539696,0,117,14.385185185185184,23.46161844539696,0,117
veh_n_,15.619834710743802,22.80469841880071,0,108,15.619834710743802,22.80469841880071,0,108
delay_,14.483333333333333,22.776216156529678,0,111,14.483333333333333,22.776216156529678,0,111
throughput_,14.085271317829458,20.797397301011586,0,105,14.085271317829458,20.797397301011586,0,105
delay_prq_,13.393700787401574,23.389441886266358,0,111,13.393700787401574,23.389441886266358,0,111
delay_pwtl_,12.11965811965812,20.640252935984595,0,117,12.11965811965812,20.640252935984595,0,117
act_throughput_mqr_,11.85820895522388,23.316763786163996,0,117,11.85820895522388,23.316763786163996,0,117
veh_n_pwtl_,15.580882352941176,25.48683179155938,0,117,15.580882352941176,25.48683179155938,0,117
throughput_pwtl_,16.496062992125985,25.614936743567274,0,114,16.496062992125985,25.614936743567274,0,114
