step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
236.00,161,4.71,88.00,617.75,28.00,1,56.82
236.00,166,11.26,77.00,596.93,16.00,1,44.99
237.00,164,7.04,84.00,617.75,24.00,1,52.66
239.00,169,16.59,72.00,596.93,10.00,1,37.48
240.00,176,13.36,70.00,596.93,9.00,1,41.22
241.00,167,13.37,79.00,617.75,17.00,1,47.05
244.00,193,10.23,62.00,617.75,0.00,0,30.62
244.00,219,7.09,42.00,615.10,0.00,0,6.74
246.00,195,10.45,62.00,596.93,0.00,0,24.12
247.00,202,11.22,56.00,596.93,0.00,0,25.06
248.00,201,5.11,64.00,607.65,0.00,0,26.87
249.00,222,7.42,44.00,615.10,0.00,0,6.10
250.00,211,9.21,53.00,617.75,0.00,0,20.52
250.00,220,3.20,51.00,586.83,0.00,0,18.69
251.00,215,7.65,52.00,596.93,0.00,0,22.97
251.00,223,10.53,42.00,617.75,0.00,0,11.16
254.00,229,7.19,43.00,617.75,0.00,0,9.40
256.00,230,9.30,42.00,617.75,0.00,0,9.97
257.00,233,8.63,41.00,617.75,0.00,0,12.39
263.00,241,7.51,41.00,596.93,0.00,0,10.03
265.00,237,8.07,46.00,617.75,0.00,0,8.07
265.00,244,10.84,37.00,615.10,0.00,0,5.29
266.00,243,8.73,41.00,596.93,0.00,0,8.96
268.00,245,12.95,37.00,615.10,0.00,0,5.57
270.00,249,12.39,36.00,615.10,0.00,0,6.90
276.00,250,14.50,39.00,615.10,0.00,0,4.75
280.00,257,14.27,37.00,617.75,0.00,0,10.52
282.00,256,12.16,42.00,596.93,0.00,0,8.89
284.00,258,16.38,38.00,615.10,0.00,0,6.06
290.00,266,12.26,41.00,596.93,0.00,0,8.38
295.00,273,9.03,43.00,617.75,0.00,0,8.83
296.00,277,8.47,41.00,617.75,0.00,0,13.50
299.00,280,8.80,41.00,596.93,0.00,0,8.57
299.00,286,6.46,38.00,615.10,0.00,0,5.30
303.00,288,7.68,39.00,596.93,0.00,0,9.99
309.00,290,8.90,42.00,617.75,0.00,0,7.95
311.00,293,9.23,41.00,617.75,0.00,0,11.38
313.00,294,11.34,40.00,596.93,0.00,0,9.20
313.00,299,9.89,37.00,617.75,0.00,0,8.40
322.00,12,4.32,307.00,615.10,263.00,1,276.48
323.00,6,3.66,314.00,617.75,270.00,1,282.03
326.00,5,1.55,320.00,596.93,270.00,1,281.15
326.00,17,2.87,308.00,615.10,260.00,1,273.43
326.00,32,1.52,296.00,615.10,246.00,2,264.49
327.00,7,5.77,315.00,617.75,265.00,1,277.83
327.00,29,1.19,300.00,615.10,249.00,2,265.93
327.00,51,-0.39,282.00,596.93,237.00,1,255.01
329.00,27,-0.03,305.00,617.75,256.00,1,269.96
329.00,62,1.82,272.00,615.10,221.00,1,240.36
331.00,37,0.07,298.00,617.75,247.00,1,269.43
331.00,70,3.70,265.00,615.10,214.00,1,233.14
331.00,74,3.14,262.00,596.93,213.00,1,228.60
332.00,82,11.02,248.00,615.10,197.00,1,216.55
333.00,55,-0.95,285.00,617.75,235.00,1,251.46
333.00,75,5.25,261.00,596.93,212.00,1,228.00
334.00,57,0.27,283.00,617.75,235.00,1,254.19
335.00,104,3.44,239.00,615.10,185.00,1,203.23
336.00,77,6.47,261.00,596.93,210.00,1,228.23
337.00,60,0.60,283.00,617.75,232.00,1,252.18
337.00,170,-0.30,186.00,615.10,134.00,1,156.02
338.00,78,7.58,261.00,596.93,208.00,1,229.13
338.00,196,-0.44,164.00,615.10,114.00,1,132.88
340.00,99,1.89,250.00,596.93,198.00,1,220.69
341.00,64,3.04,281.00,617.75,226.00,1,246.07
341.00,205,-0.45,159.00,615.10,109.00,1,127.69
342.00,199,-0.11,165.00,615.10,112.00,1,126.14
343.00,210,0.10,156.00,615.10,107.00,1,127.34
344.00,65,5.15,281.00,617.75,224.00,1,243.79
344.00,103,1.33,251.00,596.93,196.00,1,216.93
344.00,225,-0.25,144.00,615.10,95.00,1,111.21
345.00,151,0.61,210.00,596.93,154.00,1,178.88
